sortie,zone,model,boxes,kg,m3,duration_s,energy_kwh,return_soc_pct
Q1-S001-01,S001,C,S001-FOD-01;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,78.0,0.163,1495.426,3.004694,62.441
Q1-S001-02,S001,C,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,76.0,0.231,1693.426,2.926269,63.422
Q1-S002-01,S002,C,S002-FOD-01;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,56.0,0.14400000000000002,2049.082,5.741041,28.237
Q1-S002-02,S002,B,S002-FOD-02;S002-MED-01;S002-WAT-01,25.0,0.067,1823.209,2.723251,31.919
Q1-S003-01,S003,C,S003-FOD-01;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,56.0,0.14400000000000002,2369.81,5.763365,27.958
Q1-S003-02,S003,B,S003-FOD-02;S003-MED-01;S003-WAT-01,25.0,0.067,2080.241,2.779167,30.521
Q1-S004-01,S004,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59.0,0.156,2305.184,6.176911,22.789
Q1-S005-01,S005,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59.0,0.156,1880.045,4.238774,47.015
Q1-S006-01,S006,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59.0,0.156,1565.035,2.59572,67.554
Q1-S007-01,S007,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45.0,0.129,1889.224,3.403349,57.458
Q1-S008-01,S008,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45.0,0.129,2194.128,5.853747,26.828
Q1-S009-01,S009,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25.0,0.067,1560.779,2.102453,47.439
Q1-S010-01,S010,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25.0,0.067,1554.571,1.821045,54.474
Q1-S011-01,S011,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25.0,0.067,1189.63,1.077171,73.071
Q1-S012-01,S012,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25.0,0.067,1944.024,2.763324,30.917
Q1-S013-01,S013,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25.0,0.067,1500.969,1.820795,54.48
Q1-S014-01,S014,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25.0,0.067,1844.539,2.127681,46.808
Q1-S015-01,S015,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25.0,0.067,1829.573,2.310903,42.227
