zone,model,safe_payload_kg
S001,A,25.0
S001,B,30.0
S001,C,80.0
S002,A,25.0
S002,B,30.0
S002,C,68.526692
S003,A,25.0
S003,B,30.0
S003,C,68.234106
S004,A,25.0
S004,B,30.0
S004,C,63.258366
S005,A,25.0
S005,B,30.0
S005,C,80.0
S006,A,25.0
S006,B,30.0
S006,C,80.0
S007,A,25.0
S007,B,30.0
S007,C,80.0
S008,A,25.0
S008,B,28.678973
S008,C,58.515569
S009,A,25.0
S009,B,30.0
S009,C,80.0
S010,A,25.0
S010,B,30.0
S010,C,80.0
S011,A,25.0
S011,B,30.0
S011,C,80.0
S012,A,25.0
S012,B,30.0
S012,C,67.845358
S013,A,25.0
S013,B,30.0
S013,C,80.0
S014,A,25.0
S014,B,30.0
S014,C,80.0
S015,A,25.0
S015,B,30.0
S015,C,80.0
