box,sortie,zone,delivered_s
S001-FOD-01,T003,S001,1182.898
S001-FOD-02,T003,S001,1182.898
S001-FOD-03,T003,S001,1182.898
S001-HYG-01,T009,S001,3297.98
S001-HYG-02,T009,S001,3297.98
S001-MED-01,T005,S001,969.359
S001-MED-02,T005,S001,969.359
S001-WAT-01,T005,S001,969.359
S001-WAT-02,T009,S001,3297.98
S001-WAT-03,T009,S001,3297.98
S001-WAT-04,T009,S001,3297.98
S001-WAT-05,T009,S001,3297.98
S001-WAT-06,T003,S001,1182.898
S001-WAT-07,T003,S001,1182.898
S001-WAT-08,T003,S001,1182.898
S002-FOD-01,T001,S002,1490.951
S002-FOD-02,T001,S002,1490.951
S002-HYG-01,T001,S002,1490.951
S002-MED-01,T007,S002,1557.874
S002-WAT-01,T007,S002,1557.874
S002-WAT-02,T001,S002,1490.951
S002-WAT-03,T001,S002,1490.951
S002-WAT-04,T001,S002,1490.951
S003-FOD-01,T017,S003,6253.112
S003-FOD-02,T017,S003,6253.112
S003-HYG-01,T017,S003,6253.112
S003-MED-01,T018,S003,3557.901
S003-WAT-01,T019,S003,5572.615
S003-WAT-02,T017,S003,6253.112
S003-WAT-03,T017,S003,6253.112
S003-WAT-04,T017,S003,6253.112
S004-FOD-01,T016,S004,5064.07
S004-HYG-01,T016,S004,5064.07
S004-MED-01,T013,S004,2686.097
S004-WAT-01,T013,S004,2686.097
S004-WAT-02,T016,S004,5064.07
S004-WAT-03,T016,S004,5064.07
S005-FOD-01,T022,S005,7026.349
S005-HYG-01,T022,S005,7026.349
S005-MED-01,T021,S005,3412.096
S005-WAT-01,T021,S005,3412.096
S005-WAT-02,T022,S005,7026.349
S005-WAT-03,T022,S005,7026.349
S006-FOD-01,T006,S006,2664.589
S006-HYG-01,T006,S006,2664.589
S006-MED-01,T008,S006,936.77
S006-WAT-01,T008,S006,936.77
S006-WAT-02,T006,S006,2664.589
S006-WAT-03,T006,S006,2664.589
S007-FOD-01,T006,S007,3349.372
S007-HYG-01,T006,S007,3349.372
S007-MED-01,T004,S007,1058.297
S007-WAT-01,T004,S007,1058.297
S007-WAT-02,T006,S007,3349.372
S008-FOD-01,T015,S008,4957.843
S008-HYG-01,T020,S008,6855.884
S008-MED-01,T015,S008,4957.843
S008-WAT-01,T015,S008,4957.843
S008-WAT-02,T020,S008,6855.884
S009-FOD-01,T023,S009,4623.788
S009-MED-01,T007,S009,1127.357
S009-WAT-01,T023,S009,4623.788
S010-FOD-01,T010,S010,3198.846
S010-MED-01,T012,S010,2969.172
S010-WAT-01,T012,S010,2969.172
S011-FOD-01,T002,S011,1631.721
S011-MED-01,T024,S011,4553.816
S011-WAT-01,T024,S011,4553.816
S012-FOD-01,T014,S012,2631.264
S012-MED-01,T011,S012,1345.25
S012-WAT-01,T011,S012,1345.25
S013-FOD-01,T014,S013,3136.098
S013-MED-01,T002,S013,1028.018
S013-WAT-01,T002,S013,1028.018
S014-FOD-01,T012,S014,3406.918
S014-MED-01,T010,S014,2761.14
S014-WAT-01,T010,S014,2761.14
S015-FOD-01,T025,S015,6090.14
S015-MED-01,T018,S015,4015.165
S015-WAT-01,T019,S015,5149.857
