scheme,box,kind,priority,desired_s,hard_deadline_s,delivered_s,hard_slack_s,soft_delay_s
soft_delay_priority,S001-FOD-01,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-FOD-02,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-FOD-03,应急食品,10,7200,,1182.8980887587327,,0.0
soft_delay_priority,S001-HYG-01,生活卫生用品,8,10800,,3297.9797300371856,,0.0
soft_delay_priority,S001-HYG-02,生活卫生用品,8,10800,,3297.9797300371856,,0.0
soft_delay_priority,S001-MED-01,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-MED-02,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-WAT-01,饮用水,12,3600,3600,969.3587719896758,2630.641228010324,
soft_delay_priority,S001-WAT-02,饮用水,12,3600,,3297.9797300371856,,0.0
soft_delay_priority,S001-WAT-03,饮用水,12,3600,,3297.9797300371856,,0.0
soft_delay_priority,S001-WAT-04,饮用水,12,3600,,3297.9797300371856,,0.0
soft_delay_priority,S001-WAT-05,饮用水,12,3600,,3297.9797300371856,,0.0
soft_delay_priority,S001-WAT-06,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-07,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S001-WAT-08,饮用水,12,3600,,1182.8980887587327,,0.0
soft_delay_priority,S002-FOD-01,应急食品,10,7200,,1490.9508206392265,,0.0
soft_delay_priority,S002-FOD-02,应急食品,10,7200,,1490.9508206392265,,0.0
soft_delay_priority,S002-HYG-01,生活卫生用品,8,10800,,1490.9508206392265,,0.0
soft_delay_priority,S002-MED-01,医疗物资,24,3600,3600,1557.8743471608939,2042.1256528391061,
soft_delay_priority,S002-WAT-01,饮用水,12,3600,3600,1557.8743471608939,2042.1256528391061,
soft_delay_priority,S002-WAT-02,饮用水,12,3600,,1490.9508206392265,,0.0
soft_delay_priority,S002-WAT-03,饮用水,12,3600,,1490.9508206392265,,0.0
soft_delay_priority,S002-WAT-04,饮用水,12,3600,,1490.9508206392265,,0.0
soft_delay_priority,S003-FOD-01,应急食品,8,10800,,6253.1121191589455,,0.0
soft_delay_priority,S003-FOD-02,应急食品,8,10800,,6253.1121191589455,,0.0
soft_delay_priority,S003-HYG-01,生活卫生用品,6,14400,,6253.1121191589455,,0.0
soft_delay_priority,S003-MED-01,医疗物资,20,7200,7200,1754.8757340281322,5445.124265971868,
soft_delay_priority,S003-WAT-01,饮用水,10,7200,7200,4950.094951902891,2249.905048097109,
soft_delay_priority,S003-WAT-02,饮用水,10,7200,,6253.1121191589455,,0.0
soft_delay_priority,S003-WAT-03,饮用水,10,7200,,6253.1121191589455,,0.0
soft_delay_priority,S003-WAT-04,饮用水,10,7200,,6253.1121191589455,,0.0
soft_delay_priority,S004-FOD-01,应急食品,8,10800,,5196.069851279839,,0.0
soft_delay_priority,S004-HYG-01,生活卫生用品,6,14400,,5196.069851279839,,0.0
soft_delay_priority,S004-MED-01,医疗物资,20,7200,7200,5196.069851279839,2003.930148720161,
soft_delay_priority,S004-WAT-01,饮用水,10,7200,7200,5196.069851279839,2003.930148720161,
soft_delay_priority,S004-WAT-02,饮用水,10,7200,,5196.069851279839,,0.0
soft_delay_priority,S004-WAT-03,饮用水,10,7200,,5196.069851279839,,0.0
soft_delay_priority,S005-FOD-01,应急食品,6,14400,,7521.9549469878075,,0.0
soft_delay_priority,S005-HYG-01,生活卫生用品,4,18000,,7521.9549469878075,,0.0
soft_delay_priority,S005-MED-01,医疗物资,16,10800,10800,2443.106596313584,8356.893403686416,
soft_delay_priority,S005-WAT-01,饮用水,8,10800,10800,2443.106596313584,8356.893403686416,
soft_delay_priority,S005-WAT-02,饮用水,8,10800,,7521.9549469878075,,0.0
soft_delay_priority,S005-WAT-03,饮用水,8,10800,,7521.9549469878075,,0.0
soft_delay_priority,S006-FOD-01,应急食品,10,7200,,2766.5887189564614,,0.0
soft_delay_priority,S006-HYG-01,生活卫生用品,8,10800,,2766.5887189564614,,0.0
soft_delay_priority,S006-MED-01,医疗物资,24,3600,3600,2766.5887189564614,833.4112810435386,
soft_delay_priority,S006-WAT-01,饮用水,12,3600,3600,2766.5887189564614,833.4112810435386,
soft_delay_priority,S006-WAT-02,饮用水,12,3600,,2766.5887189564614,,0.0
soft_delay_priority,S006-WAT-03,饮用水,12,3600,,2766.5887189564614,,0.0
soft_delay_priority,S007-FOD-01,应急食品,10,7200,,2559.2665164931805,,0.0
soft_delay_priority,S007-HYG-01,生活卫生用品,8,10800,,3415.371857352493,,0.0
soft_delay_priority,S007-MED-01,医疗物资,24,3600,3600,2559.2665164931805,1040.7334835068195,
soft_delay_priority,S007-WAT-01,饮用水,12,3600,3600,2559.2665164931805,1040.7334835068195,
soft_delay_priority,S007-WAT-02,饮用水,12,3600,,3415.371857352493,,0.0
soft_delay_priority,S008-FOD-01,应急食品,8,10800,,4351.530942836345,,0.0
soft_delay_priority,S008-HYG-01,生活卫生用品,6,14400,,6249.57221432334,,0.0
soft_delay_priority,S008-MED-01,医疗物资,20,7200,7200,4351.530942836345,2848.4690571636547,
soft_delay_priority,S008-WAT-01,饮用水,10,7200,7200,4351.530942836345,2848.4690571636547,
soft_delay_priority,S008-WAT-02,饮用水,10,7200,,6249.57221432334,,0.0
soft_delay_priority,S009-FOD-01,应急食品,6,14400,,3735.398140228396,,0.0
soft_delay_priority,S009-MED-01,医疗物资,16,10800,10800,1127.3572431194746,9672.642756880525,
soft_delay_priority,S009-WAT-01,饮用水,8,10800,10800,3735.398140228396,7064.601859771604,
soft_delay_priority,S010-FOD-01,应急食品,10,7200,,1084.8223462305075,,0.0
soft_delay_priority,S010-MED-01,医疗物资,24,3600,3600,1084.8223462305075,2515.1776537694923,
soft_delay_priority,S010-WAT-01,饮用水,12,3600,3600,1084.8223462305075,2515.1776537694923,
soft_delay_priority,S011-FOD-01,应急食品,6,14400,,6878.197319193828,,0.0
soft_delay_priority,S011-MED-01,医疗物资,16,10800,10800,893.9542734339071,9906.045726566093,
soft_delay_priority,S011-WAT-01,饮用水,8,10800,10800,893.9542734339071,9906.045726566093,
soft_delay_priority,S012-FOD-01,应急食品,10,7200,,3839.9174891685716,,0.0
soft_delay_priority,S012-MED-01,医疗物资,22,7200,3600,2568.784757914272,1031.2152420857278,
soft_delay_priority,S012-WAT-01,饮用水,12,3600,3600,2568.784757914272,1031.2152420857278,
soft_delay_priority,S013-FOD-01,应急食品,10,7200,,3330.2896601598113,,0.0
soft_delay_priority,S013-MED-01,医疗物资,24,3600,3600,998.0180296134231,2601.981970386577,
soft_delay_priority,S013-WAT-01,饮用水,12,3600,3600,998.0180296134231,2601.981970386577,
soft_delay_priority,S014-FOD-01,应急食品,10,7200,,2784.397470872132,,0.0
soft_delay_priority,S014-MED-01,医疗物资,22,7200,3600,2784.397470872132,815.6025291278679,
soft_delay_priority,S014-WAT-01,饮用水,12,3600,3600,2784.397470872132,815.6025291278679,
soft_delay_priority,S015-FOD-01,应急食品,6,14400,,1288.5449234884097,,0.0
soft_delay_priority,S015-MED-01,医疗物资,18,7200,7200,1288.5449234884097,5911.45507651159,
soft_delay_priority,S015-WAT-01,饮用水,8,10800,10800,4527.336745528404,6272.663254471596,
zero_delay_efficient,S001-FOD-01,应急食品,10,7200,,1182.8980887587327,,0.0
zero_delay_efficient,S001-FOD-02,应急食品,10,7200,,1182.8980887587327,,0.0
zero_delay_efficient,S001-FOD-03,应急食品,10,7200,,1182.8980887587327,,0.0
zero_delay_efficient,S001-HYG-01,生活卫生用品,8,10800,,3297.9797300371856,,0.0
zero_delay_efficient,S001-HYG-02,生活卫生用品,8,10800,,3297.9797300371856,,0.0
zero_delay_efficient,S001-MED-01,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
zero_delay_efficient,S001-MED-02,医疗物资,24,3600,3600,969.3587719896758,2630.641228010324,
zero_delay_efficient,S001-WAT-01,饮用水,12,3600,3600,969.3587719896758,2630.641228010324,
zero_delay_efficient,S001-WAT-02,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-03,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-04,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-05,饮用水,12,3600,,3297.9797300371856,,0.0
zero_delay_efficient,S001-WAT-06,饮用水,12,3600,,1182.8980887587327,,0.0
zero_delay_efficient,S001-WAT-07,饮用水,12,3600,,1182.8980887587327,,0.0
zero_delay_efficient,S001-WAT-08,饮用水,12,3600,,1182.8980887587327,,0.0
zero_delay_efficient,S002-FOD-01,应急食品,10,7200,,1490.9508206392265,,0.0
zero_delay_efficient,S002-FOD-02,应急食品,10,7200,,1490.9508206392265,,0.0
zero_delay_efficient,S002-HYG-01,生活卫生用品,8,10800,,1490.9508206392265,,0.0
