box,sortie,zone,delivered_s
S001-FOD-01,T002,S001,1248.898
S001-FOD-02,T002,S001,1248.898
S001-FOD-03,T002,S001,1248.898
S001-HYG-01,T009,S001,2678.324
S001-HYG-02,T009,S001,2678.324
S001-MED-01,T005,S001,969.359
S001-MED-02,T005,S001,969.359
S001-WAT-01,T005,S001,969.359
S001-WAT-02,T002,S001,1248.898
S001-WAT-03,T009,S001,2678.324
S001-WAT-04,T009,S001,2678.324
S001-WAT-05,T009,S001,2678.324
S001-WAT-06,T002,S001,1248.898
S001-WAT-07,T002,S001,1248.898
S001-WAT-08,T002,S001,1248.898
S002-FOD-01,T012,S002,3895.549
S002-FOD-02,T012,S002,3895.549
S002-HYG-01,T012,S002,3895.549
S002-MED-01,T011,S002,2603.48
S002-WAT-01,T011,S002,2603.48
S002-WAT-02,T012,S002,3895.549
S002-WAT-03,T012,S002,3895.549
S002-WAT-04,T012,S002,3895.549
S003-FOD-01,T015,S003,4877.239
S003-FOD-02,T015,S003,4877.239
S003-HYG-01,T015,S003,4877.239
S003-MED-01,T018,S003,3603.848
S003-WAT-01,T018,S003,3603.848
S003-WAT-02,T015,S003,4877.239
S003-WAT-03,T015,S003,4877.239
S003-WAT-04,T015,S003,4877.239
S004-FOD-01,T020,S004,5973.242
S004-HYG-01,T020,S004,5973.242
S004-MED-01,T017,S004,3552.415
S004-WAT-01,T017,S004,3552.415
S004-WAT-02,T020,S004,5973.242
S004-WAT-03,T020,S004,5973.242
S005-FOD-01,T023,S005,6910.341
S005-HYG-01,T023,S005,6910.341
S005-MED-01,T013,S005,2932.019
S005-WAT-01,T013,S005,2932.019
S005-WAT-02,T023,S005,6910.341
S005-WAT-03,T023,S005,6910.341
S006-FOD-01,T001,S006,1169.163
S006-HYG-01,T001,S006,1169.163
S006-MED-01,T008,S006,936.77
S006-WAT-01,T008,S006,936.77
S006-WAT-02,T001,S006,1169.163
S006-WAT-03,T001,S006,1169.163
S007-FOD-01,T001,S007,1853.946
S007-HYG-01,T001,S007,1853.946
S007-MED-01,T004,S007,1088.297
S007-WAT-01,T004,S007,1088.297
S007-WAT-02,T001,S007,1853.946
S008-FOD-01,T016,S008,5062.845
S008-HYG-01,T021,S008,6960.886
S008-MED-01,T016,S008,5062.845
S008-WAT-01,T016,S008,5062.845
S008-WAT-02,T021,S008,6960.886
S009-FOD-01,T025,S009,5430.105
S009-MED-01,T019,S009,5204.341
S009-WAT-01,T019,S009,5204.341
S010-FOD-01,T013,S010,3672.613
S010-MED-01,T007,S010,1104.463
S010-WAT-01,T007,S010,1104.463
S011-FOD-01,T004,S011,1577.121
S011-MED-01,T024,S011,4221.02
S011-WAT-01,T024,S011,4221.02
S012-FOD-01,T003,S012,1281.942
S012-MED-01,T003,S012,1281.942
S012-WAT-01,T003,S012,1281.942
S013-FOD-01,T022,S013,3933.893
S013-MED-01,T010,S013,2391.301
S013-WAT-01,T010,S013,2391.301
S014-FOD-01,T019,S014,5994.837
S014-MED-01,T006,S014,1260.008
S014-WAT-01,T006,S014,1260.008
S015-FOD-01,T014,S015,3162.251
S015-MED-01,T014,S015,3162.251
S015-WAT-01,T014,S015,3162.251
