box,sortie,zone,delivered_s
S001-FOD-01,T002,S001,1182.898
S001-FOD-02,T002,S001,1182.898
S001-FOD-03,T002,S001,1182.898
S001-HYG-01,T011,S001,3297.98
S001-HYG-02,T011,S001,3297.98
S001-MED-01,T005,S001,969.359
S001-MED-02,T005,S001,969.359
S001-WAT-01,T005,S001,969.359
S001-WAT-02,T011,S001,3297.98
S001-WAT-03,T011,S001,3297.98
S001-WAT-04,T011,S001,3297.98
S001-WAT-05,T011,S001,3297.98
S001-WAT-06,T002,S001,1182.898
S001-WAT-07,T002,S001,1182.898
S001-WAT-08,T002,S001,1182.898
S002-FOD-01,T001,S002,1490.951
S002-FOD-02,T001,S002,1490.951
S002-HYG-01,T001,S002,1490.951
S002-MED-01,T008,S002,1557.874
S002-WAT-01,T008,S002,1557.874
S002-WAT-02,T001,S002,1490.951
S002-WAT-03,T001,S002,1490.951
S002-WAT-04,T001,S002,1490.951
S003-FOD-01,T014,S003,6319.112
S003-FOD-02,T014,S003,6319.112
S003-HYG-01,T014,S003,6319.112
S003-MED-01,T014,S003,6319.112
S003-WAT-01,T018,S003,5063.597
S003-WAT-02,T014,S003,6319.112
S003-WAT-03,T014,S003,6319.112
S003-WAT-04,T014,S003,6319.112
S004-FOD-01,T012,S004,5196.07
S004-HYG-01,T012,S004,5196.07
S004-MED-01,T012,S004,5196.07
S004-WAT-01,T012,S004,5196.07
S004-WAT-02,T012,S004,5196.07
S004-WAT-03,T012,S004,5196.07
S005-FOD-01,T022,S005,7521.955
S005-HYG-01,T022,S005,7521.955
S005-MED-01,T017,S005,2443.107
S005-WAT-01,T017,S005,2443.107
S005-WAT-02,T022,S005,7521.955
S005-WAT-03,T022,S005,7521.955
S006-FOD-01,T007,S006,2766.589
S006-HYG-01,T007,S006,2766.589
S006-MED-01,T007,S006,2766.589
S006-WAT-01,T007,S006,2766.589
S006-WAT-02,T007,S006,2766.589
S006-WAT-03,T007,S006,2766.589
S007-FOD-01,T015,S007,4343.805
S007-HYG-01,T007,S007,3415.372
S007-MED-01,T009,S007,1133.861
S007-WAT-01,T009,S007,1133.861
S007-WAT-02,T007,S007,3415.372
S008-FOD-01,T013,S008,2843.819
S008-HYG-01,T020,S008,6605.798
S008-MED-01,T013,S008,2843.819
S008-WAT-01,T013,S008,2843.819
S008-WAT-02,T020,S008,6605.798
S009-FOD-01,T021,S009,3408.817
S009-MED-01,T008,S009,1127.357
S009-WAT-01,T021,S009,3408.817
S010-FOD-01,T003,S010,1084.822
S010-MED-01,T003,S010,1084.822
S010-WAT-01,T003,S010,1084.822
S011-FOD-01,T022,S011,6878.197
S011-MED-01,T006,S011,893.954
S011-WAT-01,T006,S011,893.954
S012-FOD-01,T019,S012,3615.801
S012-MED-01,T016,S012,2568.785
S012-WAT-01,T016,S012,2568.785
S013-FOD-01,T019,S013,3106.173
S013-MED-01,T004,S013,998.018
S013-WAT-01,T004,S013,998.018
S014-FOD-01,T010,S014,2670.796
S014-MED-01,T010,S014,2670.796
S014-WAT-01,T010,S014,2670.796
S015-FOD-01,T015,S015,4765.204
S015-MED-01,T015,S015,4765.204
S015-WAT-01,T018,S015,4640.839
