box,sortie,zone,delivered_s
S001-FOD-01,T011,S001,4567.549
S001-FOD-02,T011,S001,4567.549
S001-FOD-03,T011,S001,4567.549
S001-HYG-01,T002,S001,1182.898
S001-HYG-02,T002,S001,1182.898
S001-MED-01,T005,S001,918.302
S001-MED-02,T005,S001,918.302
S001-WAT-01,T005,S001,918.302
S001-WAT-02,T002,S001,1182.898
S001-WAT-03,T002,S001,1182.898
S001-WAT-04,T002,S001,1182.898
S001-WAT-05,T002,S001,1182.898
S001-WAT-06,T011,S001,4567.549
S001-WAT-07,T011,S001,4567.549
S001-WAT-08,T011,S001,4567.549
S002-FOD-01,T001,S002,1490.951
S002-FOD-02,T001,S002,1490.951
S002-HYG-01,T001,S002,1490.951
S002-MED-01,T012,S002,3377.673
S002-WAT-01,T012,S002,3377.673
S002-WAT-02,T001,S002,1490.951
S002-WAT-03,T001,S002,1490.951
S002-WAT-04,T001,S002,1490.951
S003-FOD-01,T019,S003,8447.24
S003-FOD-02,T019,S003,8447.24
S003-HYG-01,T019,S003,8447.24
S003-MED-01,T015,S003,1409.112
S003-WAT-01,T015,S003,1409.112
S003-WAT-02,T019,S003,8447.24
S003-WAT-03,T019,S003,8447.24
S003-WAT-04,T019,S003,8447.24
S004-FOD-01,T018,S004,6877.525
S004-HYG-01,T018,S004,6877.525
S004-MED-01,T016,S004,2689.641
S004-WAT-01,T016,S004,2689.641
S004-WAT-02,T018,S004,6877.525
S004-WAT-03,T018,S004,6877.525
S005-FOD-01,T022,S005,8839.804
S005-HYG-01,T022,S005,8839.804
S005-MED-01,T018,S005,6242.015
S005-WAT-01,T018,S005,6242.015
S005-WAT-02,T022,S005,8839.804
S005-WAT-03,T022,S005,8839.804
S006-FOD-01,T009,S006,3194.244
S006-HYG-01,T009,S006,3194.244
S006-MED-01,T008,S006,936.77
S006-WAT-01,T008,S006,936.77
S006-WAT-02,T009,S006,3194.244
S006-WAT-03,T009,S006,3194.244
S007-FOD-01,T004,S007,2833.998
S007-HYG-01,T004,S007,2833.998
S007-MED-01,T004,S007,2833.998
S007-WAT-01,T004,S007,2833.998
S007-WAT-02,T004,S007,2833.998
S008-FOD-01,T013,S008,6102.651
S008-HYG-01,T013,S008,6102.651
S008-MED-01,T013,S008,6102.651
S008-WAT-01,T013,S008,6102.651
S008-WAT-02,T013,S008,6102.651
S009-FOD-01,T012,S009,2976.004
S009-MED-01,T017,S009,5039.317
S009-WAT-01,T017,S009,5039.317
S010-FOD-01,T020,S010,2647.056
S010-MED-01,T007,S010,1104.463
S010-WAT-01,T007,S010,1104.463
S011-FOD-01,T023,S011,3501.014
S011-MED-01,T021,S011,3088.691
S011-WAT-01,T021,S011,3088.691
S012-FOD-01,T003,S012,1281.942
S012-MED-01,T003,S012,1281.942
S012-WAT-01,T003,S012,1281.942
S013-FOD-01,T017,S013,5491.141
S013-MED-01,T010,S013,1078.83
S013-WAT-01,T010,S013,1078.83
S014-FOD-01,T006,S014,2440.183
S014-MED-01,T006,S014,2440.183
S014-WAT-01,T006,S014,2440.183
S015-FOD-01,T014,S015,4273.123
S015-MED-01,T014,S015,4273.123
S015-WAT-01,T014,S015,4273.123
