sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U05,B,B01,0.0,S010,1434.571,1.513832,62.154,S010-FOD-01
T002,U07,C,C01,0.0,S001,1495.426,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T003,U06,B,B02,0.0,S012,1944.024,2.763324,30.917,S012-FOD-01;S012-MED-01;S012-WAT-01
T004,U08,C,C02,0.0,S006,1433.035,2.325812,70.927,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03
T005,U01,A,A01,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T006,U08,C,C03,1433.035,S001,2928.461,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T007,U05,B,B03,1434.571,S014,3279.11,2.127681,46.808,S014-FOD-01;S014-MED-01;S014-WAT-01
T008,U07,C,C04,1495.426,S007,3384.651,3.403349,57.458,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02
T009,U02,A,A02,0.0,S010,1653.852,1.95254,56.61,S010-MED-01;S010-WAT-01
T010,U08,C,C02,2928.461,S002,5043.543,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T011,U03,A,A03,0.0,S006,1316.014,1.310961,70.868,S006-MED-01;S006-WAT-01
T012,U06,B,B04,1944.024,S009→S002,3977.337,2.687208,32.82,S009-FOD-01;S002-MED-01;S002-WAT-01
T013,U07,C,C01,3384.651,S008,5578.778,5.853747,26.828,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02
T014,U08,C,C03,5043.543,S005→S004,7629.332,6.085657,23.929,S005-MED-01;S005-WAT-01;S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03
T015,U07,C,C04,5578.778,S003,8014.588,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T016,U05,B,B01,3279.11,S015,5108.683,2.310903,42.227,S015-FOD-01;S015-MED-01;S015-WAT-01
T017,U04,A,A04,0.0,S003,2262.277,2.981173,33.752,S003-MED-01;S003-WAT-01
T018,U01,A,A05,1312.471,S004,3496.43,3.098647,31.141,S004-MED-01;S004-WAT-01
T019,U06,B,B02,3977.337,S009→S013,5934.092,2.5007,37.482,S009-MED-01;S009-WAT-01;S013-FOD-01
T020,U03,A,A06,1316.014,S013,2918.607,1.953925,56.579,S013-MED-01;S013-WAT-01
T021,U02,A,A01,2178.789,S011,3402.324,1.15549,74.322,S011-MED-01;S011-WAT-01
T022,U08,C,C02,7629.332,S005,9377.377,3.801932,52.476,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03
T023,U04,A,A03,2262.277,S011,3425.812,1.104775,75.449,S011-FOD-01
