box,sortie,zone,delivered_s
S001-FOD-01,T002,S001,1182.898
S001-FOD-02,T002,S001,1182.898
S001-FOD-03,T002,S001,1182.898
S001-HYG-01,T006,S001,3587.496
S001-HYG-02,T006,S001,3587.496
S001-MED-01,T013,S001,969.359
S001-MED-02,T013,S001,969.359
S001-WAT-01,T013,S001,969.359
S001-WAT-02,T006,S001,3587.496
S001-WAT-03,T006,S001,3587.496
S001-WAT-04,T006,S001,3587.496
S001-WAT-05,T006,S001,3587.496
S001-WAT-06,T002,S001,1182.898
S001-WAT-07,T002,S001,1182.898
S001-WAT-08,T002,S001,1182.898
S002-FOD-01,T003,S002,2986.377
S002-FOD-02,T003,S002,2986.377
S002-HYG-01,T003,S002,2986.377
S002-MED-01,T009,S002,1557.874
S002-WAT-01,T009,S002,1557.874
S002-WAT-02,T003,S002,2986.377
S002-WAT-03,T003,S002,2986.377
S002-WAT-04,T003,S002,2986.377
S003-FOD-01,T007,S003,5255.873
S003-FOD-02,T007,S003,5255.873
S003-HYG-01,T007,S003,5255.873
S003-MED-01,T018,S003,3091.553
S003-WAT-01,T020,S003,6826.287
S003-WAT-02,T007,S003,5255.873
S003-WAT-03,T007,S003,5255.873
S003-WAT-04,T007,S003,5255.873
S004-FOD-01,T014,S004,5852.234
S004-HYG-01,T014,S004,5852.234
S004-MED-01,T017,S004,2686.097
S004-WAT-01,T017,S004,2686.097
S004-WAT-02,T014,S004,5852.234
S004-WAT-03,T014,S004,5852.234
S005-FOD-01,T023,S005,4780.039
S005-HYG-01,T024,S005,6488.56
S005-MED-01,T021,S005,3891.698
S005-WAT-01,T021,S005,3891.698
S005-WAT-02,T023,S005,4780.039
S005-WAT-03,T024,S005,6488.56
S006-FOD-01,T001,S006,1169.163
S006-HYG-01,T001,S006,1169.163
S006-MED-01,T004,S006,883.753
S006-WAT-01,T004,S006,883.753
S006-WAT-02,T001,S006,1169.163
S006-WAT-03,T001,S006,1169.163
S007-FOD-01,T001,S007,1853.946
S007-HYG-01,T001,S007,1853.946
S007-MED-01,T010,S007,1133.861
S007-WAT-01,T010,S007,1133.861
S007-WAT-02,T001,S007,1853.946
S008-FOD-01,T015,S008,4606.508
S008-HYG-01,T016,S008,4777.498
S008-MED-01,T015,S008,4606.508
S008-WAT-01,T015,S008,4606.508
S008-WAT-02,T016,S008,4777.498
S009-FOD-01,T027,S009,6639.372
S009-MED-01,T009,S009,1127.357
S009-WAT-01,T025,S009,5327.84
S010-FOD-01,T011,S010,3078.501
S010-MED-01,T008,S010,2264.802
S010-WAT-01,T008,S010,2264.802
S011-FOD-01,T028,S011,6666.225
S011-MED-01,T019,S011,3072.743
S011-WAT-01,T019,S011,3072.743
S012-FOD-01,T022,S012,5046.882
S012-MED-01,T012,S012,1345.25
S012-WAT-01,T012,S012,1345.25
S013-FOD-01,T022,S013,4537.254
S013-MED-01,T005,S013,998.018
S013-WAT-01,T005,S013,998.018
S014-FOD-01,T008,S014,2702.548
S014-MED-01,T011,S014,2640.796
S014-WAT-01,T011,S014,2640.796
S015-FOD-01,T026,S015,6090.14
S015-MED-01,T018,S015,3548.818
S015-WAT-01,T020,S015,6403.529
