box,sortie,zone,delivered_s
S001-FOD-01,T001,S001,1248.898
S001-FOD-02,T001,S001,1248.898
S001-FOD-03,T001,S001,1248.898
S001-HYG-01,T001,S001,1248.898
S001-HYG-02,T003,S001,1116.898
S001-MED-01,T005,S001,969.359
S001-MED-02,T005,S001,969.359
S001-WAT-01,T005,S001,969.359
S001-WAT-02,T003,S001,1116.898
S001-WAT-03,T003,S001,1116.898
S001-WAT-04,T003,S001,1116.898
S001-WAT-05,T003,S001,1116.898
S001-WAT-06,T001,S001,1248.898
S001-WAT-07,T001,S001,1248.898
S001-WAT-08,T001,S001,1248.898
S002-FOD-01,T012,S002,2920.951
S002-FOD-02,T012,S002,2920.951
S002-HYG-01,T012,S002,2920.951
S002-MED-01,T004,S002,1557.874
S002-WAT-01,T004,S002,1557.874
S002-WAT-02,T012,S002,2920.951
S002-WAT-03,T012,S002,2920.951
S002-WAT-04,T012,S002,2920.951
S003-FOD-01,T018,S003,5191.365
S003-FOD-02,T018,S003,5191.365
S003-HYG-01,T018,S003,5191.365
S003-MED-01,T007,S003,3721.112
S003-WAT-01,T007,S003,3721.112
S003-WAT-02,T018,S003,5191.365
S003-WAT-03,T018,S003,5191.365
S003-WAT-04,T018,S003,5191.365
S004-FOD-01,T019,S004,5493.562
S004-HYG-01,T019,S004,5493.562
S004-MED-01,T014,S004,3801.616
S004-WAT-01,T019,S004,5493.562
S004-WAT-02,T019,S004,5493.562
S004-WAT-03,T019,S004,5493.562
S005-FOD-01,T016,S005,5742.636
S005-HYG-01,T023,S005,5243.269
S005-MED-01,T014,S005,3291.636
S005-WAT-01,T014,S005,3291.636
S005-WAT-02,T016,S005,5742.636
S005-WAT-03,T023,S005,5243.269
S006-FOD-01,T009,S006,2498.753
S006-HYG-01,T010,S006,2702.163
S006-MED-01,T009,S006,2498.753
S006-WAT-01,T009,S006,2498.753
S006-WAT-02,T010,S006,2702.163
S006-WAT-03,T010,S006,2702.163
S007-FOD-01,T010,S007,3422.946
S007-HYG-01,T010,S007,3422.946
S007-MED-01,T002,S007,3332.547
S007-WAT-01,T010,S007,3422.946
S007-WAT-02,T010,S007,3422.946
S008-FOD-01,T013,S008,3134.247
S008-HYG-01,T021,S008,5033.247
S008-MED-01,T013,S008,3134.247
S008-WAT-01,T013,S008,3134.247
S008-WAT-02,T021,S008,5033.247
S009-FOD-01,T022,S009,4616.357
S009-MED-01,T004,S009,1127.357
S009-WAT-01,T022,S009,4616.357
S010-FOD-01,T015,S010,1084.822
S010-MED-01,T015,S010,1084.822
S010-WAT-01,T015,S010,1084.822
S011-FOD-01,T006,S011,3918.002
S011-MED-01,T006,S011,3918.002
S011-WAT-01,T006,S011,3918.002
S012-FOD-01,T017,S012,1558.458
S012-MED-01,T011,S012,1345.25
S012-WAT-01,T011,S012,1345.25
S013-FOD-01,T017,S013,1048.83
S013-MED-01,T002,S013,2421.83
S013-WAT-01,T002,S013,2421.83
S014-FOD-01,T008,S014,1229.826
S014-MED-01,T008,S014,1229.826
S014-WAT-01,T008,S014,1229.826
S015-FOD-01,T020,S015,5170.545
S015-MED-01,T007,S015,4178.376
S015-WAT-01,T020,S015,5170.545
