transport_sortie,phase,start_s,end_s,mode,relay_sortie
T001,climb,510.0,568.143,direct,
T001,cruise,568.143,726.0,direct,
T001,cruise,726.0,772.37,direct,
T001,descent,772.37,816.898,direct,
T001,handoff,816.898,903.0,direct,
T001,handoff,903.0,1248.898,direct,
T001,climb,1248.898,1284.521,direct,
T001,cruise,1284.521,1488.748,direct,
T001,descent,1488.748,1561.426,direct,
T002,climb,1703.0,1791.351,direct,
T002,cruise,1791.351,1993.38,direct,
T002,cruise,1993.38,2195.409,relay,R002
T002,descent,2195.409,2211.83,relay,R002
T002,handoff,2211.83,2421.83,relay,R002
T002,climb,2421.83,2448.776,relay,R002
T002,cruise,2448.776,2895.0,relay,R002
T002,cruise,2895.0,3118.932,relay,R001
T002,descent,3118.932,3152.547,relay,R001
T002,handoff,3152.547,3332.547,relay,R001
T002,climb,3332.547,3383.658,relay,R001
T002,cruise,3383.658,3761.476,relay,R001
T002,descent,3761.476,3911.128,direct,
T003,climb,450.0,508.143,direct,
T003,cruise,508.143,712.37,direct,
T003,descent,712.37,726.0,direct,
T003,descent,726.0,756.898,direct,
T003,handoff,756.898,903.0,direct,
T003,handoff,903.0,1116.898,direct,
T003,climb,1116.898,1152.521,direct,
T003,cruise,1152.521,1356.748,direct,
T003,descent,1356.748,1429.426,direct,
T004,climb,390.0,445.176,direct,
T004,cruise,445.176,726.0,direct,
T004,cruise,726.0,903.0,relay,R003
T004,cruise,903.0,922.066,relay,R002
T004,descent,922.066,947.357,relay,R002
T004,handoff,947.357,1127.357,relay,R002
T004,climb,1127.357,1160.119,relay,R002
T004,cruise,1160.119,1304.36,relay,R002
T004,descent,1304.36,1347.874,relay,R002
T004,handoff,1347.874,1557.874,relay,R002
T004,climb,1557.874,1568.0,relay,R002
T004,climb,1568.0,1588.447,relay,R002
T004,cruise,1588.447,1898.25,relay,R002
T004,cruise,1898.25,2053.151,relay,R002
T004,cruise,2053.151,2208.053,direct,
T004,descent,2208.053,2281.46,direct,
T005,climb,390.0,438.452,direct,
T005,cruise,438.452,693.736,direct,
T005,descent,693.736,726.0,direct,
T005,descent,726.0,729.359,direct,
T005,handoff,729.359,903.0,direct,
T005,handoff,903.0,969.359,direct,
T005,climb,969.359,999.044,direct,
T005,cruise,999.044,1254.328,direct,
T005,descent,1254.328,1312.471,direct,
T006,climb,3401.0,3456.887,direct,
T006,cruise,3456.887,3644.697,direct,
T006,descent,3644.697,3678.002,direct,
T006,handoff,3678.002,3918.002,direct,
T006,climb,3918.002,3945.756,direct,
T006,cruise,3945.756,4133.566,direct,
T006,descent,4133.566,4200.63,direct,
T007,climb,2672.0,2816.701,direct,
T007,cruise,2816.701,2895.0,direct,
T007,cruise,2895.0,3421.79,direct,
T007,descent,3421.79,3511.112,relay,R001
T007,handoff,3511.112,3721.112,relay,R001
T007,climb,3721.112,3772.84,relay,R001
T007,cruise,3772.84,3990.703,relay,R001
T007,descent,3990.703,3998.376,relay,R001
T007,handoff,3998.376,4178.376,relay,R001
T007,climb,4178.376,4210.809,relay,R001
T007,cruise,4210.809,4712.401,relay,R001
T007,descent,4712.401,4890.041,direct,
T008,climb,390.0,539.281,direct,
T008,cruise,539.281,726.0,direct,
T008,cruise,726.0,900.009,relay,R003
T008,descent,900.009,903.0,relay,R003
T008,descent,903.0,989.826,relay,R003
T008,handoff,989.826,1229.826,relay,R003
T008,climb,1229.826,1304.674,relay,R003
T008,cruise,1304.674,1568.0,relay,R003
T008,cruise,1568.0,1665.401,direct,
T008,descent,1665.401,1844.539,direct,
T009,climb,1945.0,2025.238,direct,
T009,cruise,2025.238,2237.307,direct,
T009,descent,2237.307,2258.753,direct,
T009,handoff,2258.753,2498.753,direct,
