sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U08,C,C04,0.0,S001,1561.426,2.788923,65.138,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-WAT-06;S001-WAT-07;S001-WAT-08
T002,U03,A,A06,1313.0,S013→S007,3911.128,3.447526,23.388,S013-MED-01;S013-WAT-01;S007-MED-01
T003,U07,C,C03,0.0,S001,1429.426,2.528666,68.392,S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T004,U01,A,A05,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T005,U03,A,A04,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T009,U06,B,B04,1555.0,S006,2824.98,1.223874,69.403,S006-FOD-01;S006-MED-01;S006-WAT-01
T011,U02,A,A03,0.0,S012,2130.639,2.969256,34.017,S012-MED-01;S012-WAT-01
T015,U06,B,B03,0.0,S010,1554.571,1.821045,54.474,S010-FOD-01;S010-MED-01;S010-WAT-01
T006,U06,B,B03,3011.0,S011,4200.63,1.077171,73.071,S011-FOD-01;S011-MED-01;S011-WAT-01
T007,U01,A,A04,2282.0,S003→S015,4890.041,3.299758,26.672,S003-MED-01;S003-WAT-01;S015-MED-01
T010,U08,C,C02,1569.0,S006→S007,3973.598,4.61,42.375,S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-01;S007-WAT-02
T008,U05,B,B01,0.0,S014,1844.539,2.127681,46.808,S014-FOD-01;S014-MED-01;S014-WAT-01
T012,U07,C,C01,1430.0,S002,3545.082,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T014,U02,A,A02,2131.0,S005→S004,4611.949,3.142786,30.16,S005-MED-01;S005-WAT-01;S004-MED-01
T016,U02,A,A01,4612.0,S005,6307.758,2.201456,51.079,S005-FOD-01;S005-WAT-02
T013,U05,B,B02,1845.0,S008,3803.041,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T021,U05,B,B01,3804.0,S008,5702.041,2.77042,30.739,S008-HYG-01;S008-WAT-02
T017,U04,A,A01,0.0,S013→S012,2343.847,2.98926,33.572,S013-FOD-01;S012-FOD-01
T018,U07,C,C04,3546.0,S003,5981.81,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T019,U08,C,C03,3974.0,S004,6213.184,6.038195,24.523,S004-FOD-01;S004-HYG-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
T022,U04,A,A03,3489.0,S009,5180.534,2.33825,48.039,S009-FOD-01;S009-WAT-01
T020,U03,A,A05,3912.0,S015,5882.21,2.561541,43.077,S015-FOD-01;S015-WAT-01
T023,U06,B,B04,4201.0,S005,5720.024,1.841574,53.961,S005-HYG-01;S005-WAT-03
