sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T001,climb,0,510.0,568.1426440429688,direct,,29.982830377148545,obstruction_upper_bound,PASS
T001,cruise,1,568.1426440429688,772.3697837050219,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,772.3697837050219,776.0,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,776.0,816.8980887587328,direct,,2.215093447190098,obstruction_upper_bound,PASS
T001,handoff,3,816.8980887587328,959.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T001,handoff,3,959.0,1248.8980887587327,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T001,climb,4,1248.8980887587327,1284.5207328017013,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,cruise,5,1284.5207328017013,1488.7478724637544,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T001,descent,6,1488.7478724637544,1561.4261775174655,direct,,29.982830377148545,obstruction_upper_bound,PASS
T002,climb,0,1735.0,1823.3506103515624,direct,,24.160616126613668,obstruction_upper_bound,PASS
T002,cruise,1,1823.3506103515624,2227.4089689015445,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,descent,2,2227.4089689015445,2243.8297013234196,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,handoff,3,2243.8297013234196,2453.8297013234196,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,climb,4,2453.8297013234196,2480.775740141779,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,cruise,5,2480.775740141779,3037.0,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T002,cruise,5,3037.0,3150.932126243044,relay,R001,3.047011517928251,obstruction_upper_bound,PASS
T002,descent,6,3150.932126243044,3184.547372825075,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,handoff,7,3184.547372825075,3364.547372825075,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,climb,8,3364.547372825075,3415.6575311095803,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T002,cruise,9,3415.6575311095803,3793.476000743442,relay,R001,5.684936344501038,independent_swept_cells,PASS
T002,descent,10,3793.476000743442,3943.128190684848,direct,,20.962509130395112,obstruction_upper_bound,PASS
T003,climb,0,450.0,508.14264404296875,direct,,29.982830377148545,obstruction_upper_bound,PASS
T003,cruise,1,508.14264404296875,712.3697837050219,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,712.3697837050219,756.8980887587328,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,handoff,3,756.8980887587328,776.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T003,handoff,3,776.0,959.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T003,handoff,3,959.0,1116.8980887587327,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T003,climb,4,1116.8980887587327,1152.5207328017013,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,cruise,5,1152.5207328017013,1356.7478724637544,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T003,descent,6,1356.7478724637544,1429.4261775174655,direct,,29.982830377148545,obstruction_upper_bound,PASS
T004,climb,0,508.0,563.1763041178385,direct,,28.686789494765073,obstruction_upper_bound,PASS
T004,cruise,1,563.1763041178385,776.0,direct,,3.787410846584004,obstruction_upper_bound,PASS
T004,cruise,1,776.0,959.0,relay,R003,0.010469486452624466,independent_swept_cells,PASS
T004,cruise,1,959.0,1040.0656781780683,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,descent,2,1040.0656781780683,1065.3572431194746,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,handoff,3,1065.3572431194746,1245.3572431194746,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,climb,4,1245.3572431194746,1278.1194603232507,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,5,1278.1194603232507,1422.3596865163627,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,descent,6,1422.3596865163627,1465.8743471608939,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,handoff,7,1465.8743471608939,1564.0,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,handoff,7,1564.0,1675.8743471608939,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,climb,8,1675.8743471608939,1706.4470400319876,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T004,cruise,9,1706.4470400319876,2326.0527273910793,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T004,descent,10,2326.0527273910793,2399.4599588363917,direct,,27.67445965789763,obstruction_upper_bound,PASS
T005,climb,0,390.0,438.45220336914065,direct,,29.982830377148545,obstruction_upper_bound,PASS
T005,cruise,1,438.45220336914065,693.736127946707,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,descent,2,693.736127946707,729.3587719896758,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,handoff,3,729.3587719896758,776.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,handoff,3,776.0,959.0,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,handoff,3,959.0,969.3587719896758,direct,,2.2209329737202967,obstruction_upper_bound,PASS
T005,climb,4,969.3587719896758,999.0443086921498,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,cruise,5,999.0443086921498,1254.3282332697163,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,descent,6,1254.3282332697163,1312.470877312685,direct,,29.982830377148545,obstruction_upper_bound,PASS
T006,climb,0,3454.0,3509.8872517903646,direct,,28.560414627442945,obstruction_upper_bound,PASS
T006,cruise,1,3509.8872517903646,3697.697107386449,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,descent,2,3697.697107386449,3731.001809534886,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,handoff,3,3731.001809534886,3971.001809534886,direct,,2.9472034845106343,obstruction_upper_bound,PASS
T006,climb,4,3971.001809534886,3998.7557279919174,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,cruise,5,3998.7557279919174,4186.565583588002,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,descent,6,4186.565583588002,4253.630285736439,direct,,28.56041462744298,obstruction_upper_bound,PASS
T007,climb,0,2714.0,2858.701379394531,direct,,19.60358375633274,obstruction_upper_bound,PASS
T007,cruise,1,2858.701379394531,3037.0,direct,,5.178726741128495,obstruction_upper_bound,PASS
T007,cruise,1,3037.0,3463.7901744740184,relay,R001,3.7586069596220515,independent_swept_cells,PASS
T007,descent,2,3463.7901744740184,3553.111829747456,relay,R001,3.7243562827461787,independent_swept_cells,PASS
T007,handoff,3,3553.111829747456,3763.111829747456,relay,R001,3.7243562827461787,independent_swept_cells,PASS
T007,climb,4,3763.111829747456,3814.839612950581,relay,R001,3.7243562827461787,independent_swept_cells,PASS
T007,cruise,5,3814.839612950581,4032.702633776762,relay,R001,3.751013713102269,independent_swept_cells,PASS
T007,descent,6,4032.702633776762,4040.375973620512,relay,R001,5.547353307379366,independent_swept_cells,PASS
T007,handoff,7,4040.375973620512,4220.375973620512,relay,R001,5.547353307379366,independent_swept_cells,PASS
T007,climb,8,4220.375973620512,4252.80905874421,relay,R001,5.547353307379366,independent_swept_cells,PASS
T007,cruise,9,4252.80905874421,4754.401194960485,relay,R001,5.564399251245414,independent_swept_cells,PASS
T007,descent,10,4754.401194960485,4932.040897108922,direct,,19.39642496715183,obstruction_upper_bound,PASS
T008,climb,0,390.0,539.2812744140625,direct,,19.320069836068832,obstruction_upper_bound,PASS
T008,cruise,1,539.2812744140625,776.0,direct,,0.8766652396022767,obstruction_upper_bound,PASS
T008,cruise,1,776.0,900.0085824475755,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T008,descent,2,900.0085824475755,959.0,relay,R003,0.7188306771577473,obstruction_upper_bound,PASS
T008,descent,2,959.0,989.8261117444505,relay,R003,0.7188306771577473,obstruction_upper_bound,PASS
T008,handoff,3,989.8261117444505,1229.8261117444504,relay,R003,0.7188306771577473,obstruction_upper_bound,PASS
T008,climb,4,1229.8261117444504,1304.6740528251796,relay,R003,0.7188306771577473,obstruction_upper_bound,PASS
T008,cruise,5,1304.6740528251796,1564.0,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T008,cruise,5,1564.0,1665.4013608586924,direct,,7.972409353875278,obstruction_upper_bound,PASS
T008,descent,6,1665.4013608586924,1844.5388901555675,direct,,19.320069836068832,obstruction_upper_bound,PASS
T009,climb,0,1998.0,2078.238498942057,direct,,25.069118629420288,obstruction_upper_bound,PASS
T009,cruise,1,2078.238498942057,2290.3070932374985,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,descent,2,2290.3070932374985,2311.7532919679675,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,handoff,3,2311.7532919679675,2551.7532919679675,direct,,1.882429799933238,obstruction_upper_bound,PASS
T009,climb,4,2551.7532919679675,2569.625124243358,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,cruise,5,2569.625124243358,2781.693718538799,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,descent,6,2781.693718538799,2877.979917269268,direct,,25.06911862942026,obstruction_upper_bound,PASS
T010,climb,0,2192.0,2288.2861987304686,direct,,25.069118629420267,obstruction_upper_bound,PASS
T010,cruise,1,2288.2861987304686,2500.35479302591,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T010,descent,2,2500.35479302591,2527.162541438996,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T010,handoff,3,2527.162541438996,2815.162541438996,direct,,1.882429799933238,obstruction_upper_bound,PASS
T010,climb,4,2815.162541438996,2924.436828548371,direct,,1.811985579259483,obstruction_upper_bound,PASS
T010,cruise,5,2924.436828548371,2980.7184142741853,direct,,1.0104610649914463,obstruction_upper_bound,PASS
T010,cruise,5,2980.7184142741853,3008.8592071370927,direct,,0.48987518616772086,obstruction_upper_bound,PASS
T010,cruise,5,3008.8592071370927,3022.9296035685466,direct,,0.21212396550011015,obstruction_upper_bound,PASS
T010,cruise,5,3022.9296035685466,3037.0,direct,,9.92669955650495,independent_swept_cells,PASS
T010,cruise,5,3037.0,3092.2028209483087,relay,R001,3.212669793151875,obstruction_upper_bound,PASS
T010,descent,6,3092.2028209483087,3211.9456798350275,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T010,handoff,7,3211.9456798350275,3535.9456798350275,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T010,climb,8,3535.9456798350275,3597.277869776434,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T010,cruise,9,3597.277869776434,3899.532645483523,relay,R001,5.684936344501038,independent_swept_cells,PASS
T010,descent,10,3899.532645483523,4086.597882910281,direct,,20.962509130395112,obstruction_upper_bound,PASS
T011,climb,0,392.0,491.796787516276,direct,,23.02154674108874,obstruction_upper_bound,PASS
T011,cruise,1,491.796787516276,776.0,direct,,1.2597523304182268,obstruction_upper_bound,PASS
T011,cruise,1,776.0,959.0,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T011,cruise,1,959.0,1108.33339936026,relay,R003,0.6379286577039203,independent_swept_cells,PASS
T011,descent,2,1108.33339936026,1167.2495443797914,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T011,handoff,3,1167.2495443797914,1377.2495443797914,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T011,climb,4,1377.2495443797914,1426.3463318960673,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T011,cruise,5,1426.3463318960673,1564.0,relay,R003,0.6379286577039203,independent_swept_cells,PASS
T011,cruise,5,1564.0,2042.8829437400514,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T011,descent,6,2042.8829437400514,2162.6390887595826,direct,,23.02154674108874,obstruction_upper_bound,PASS
T012,climb,0,1940.0,2013.4072314453124,direct,,27.674459657897643,obstruction_upper_bound,PASS
T012,cruise,1,2013.4072314453124,2509.091781332586,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T012,descent,2,2509.091781332586,2554.9508206392265,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T012,handoff,3,2554.9508206392265,2950.9508206392265,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T012,climb,4,2950.9508206392265,2987.638052084539,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T012,cruise,5,2987.638052084539,3037.0,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T012,cruise,5,3037.0,3483.322601971812,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T012,descent,6,3483.322601971812,3575.081641278453,direct,,27.67445965789763,obstruction_upper_bound,PASS
T013,climb,0,2647.0,2726.9529561360678,direct,,25.102895398396285,obstruction_upper_bound,PASS
T013,cruise,1,2726.9529561360678,3037.0,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T013,cruise,1,3037.0,3267.5837550468827,relay,R002,0.28939259213529667,independent_swept_cells,PASS
