box_id,sortie,zone,time
S001-FOD-01,T001,S001,1248.8980887587327
S001-FOD-02,T001,S001,1248.8980887587327
S001-FOD-03,T001,S001,1248.8980887587327
S001-HYG-01,T001,S001,1248.8980887587327
S001-WAT-06,T001,S001,1248.8980887587327
S001-WAT-07,T001,S001,1248.8980887587327
S001-WAT-08,T001,S001,1248.8980887587327
S013-MED-01,T002,S013,2453.8297013234196
S013-WAT-01,T002,S013,2453.8297013234196
S007-MED-01,T002,S007,3364.547372825075
S001-HYG-02,T003,S001,1116.8980887587327
S001-WAT-02,T003,S001,1116.8980887587327
S001-WAT-03,T003,S001,1116.8980887587327
S001-WAT-04,T003,S001,1116.8980887587327
S001-WAT-05,T003,S001,1116.8980887587327
S009-MED-01,T004,S009,1245.3572431194746
S002-MED-01,T004,S002,1675.8743471608939
S002-WAT-01,T004,S002,1675.8743471608939
S001-MED-01,T005,S001,969.3587719896758
S001-MED-02,T005,S001,969.3587719896758
S001-WAT-01,T005,S001,969.3587719896758
S006-FOD-01,T009,S006,2551.7532919679675
S006-MED-01,T009,S006,2551.7532919679675
S006-WAT-01,T009,S006,2551.7532919679675
S012-MED-01,T011,S012,1377.2495443797914
S012-WAT-01,T011,S012,1377.2495443797914
S010-FOD-01,T015,S010,1107.8223462305075
S010-MED-01,T015,S010,1107.8223462305075
S010-WAT-01,T015,S010,1107.8223462305075
S011-FOD-01,T006,S011,3971.001809534886
S011-MED-01,T006,S011,3971.001809534886
S011-WAT-01,T006,S011,3971.001809534886
S003-MED-01,T007,S003,3763.111829747456
S003-WAT-01,T007,S003,3763.111829747456
S015-MED-01,T007,S015,4220.375973620512
S006-HYG-01,T010,S006,2815.162541438996
S006-WAT-02,T010,S006,2815.162541438996
S006-WAT-03,T010,S006,2815.162541438996
S007-FOD-01,T010,S007,3535.9456798350275
S007-HYG-01,T010,S007,3535.9456798350275
S007-WAT-01,T010,S007,3535.9456798350275
S007-WAT-02,T010,S007,3535.9456798350275
S014-FOD-01,T008,S014,1229.8261117444504
S014-MED-01,T008,S014,1229.8261117444504
S014-WAT-01,T008,S014,1229.8261117444504
S002-FOD-01,T012,S002,2950.9508206392265
S002-FOD-02,T012,S002,2950.9508206392265
S002-HYG-01,T012,S002,2950.9508206392265
S002-WAT-02,T012,S002,2950.9508206392265
S002-WAT-03,T012,S002,2950.9508206392265
S002-WAT-04,T012,S002,2950.9508206392265
S005-MED-01,T014,S005,4711.6357190008985
S005-WAT-01,T014,S005,4711.6357190008985
S004-MED-01,T014,S004,5221.616381120692
S005-FOD-01,T016,S005,3560.635719000899
S005-WAT-02,T016,S005,3560.635719000899
S008-FOD-01,T013,S008,3546.247302410164
S008-MED-01,T013,S008,3546.247302410164
S008-WAT-01,T013,S008,3546.247302410164
S008-HYG-01,T021,S008,5513.247302410164
S008-WAT-02,T021,S008,5513.247302410164
S013-FOD-01,T017,S013,1048.8297013234196
S012-FOD-01,T017,S012,1558.45753033218
S003-FOD-01,T018,S003,5252.364760428824
S003-FOD-02,T018,S003,5252.364760428824
S003-HYG-01,T018,S003,5252.364760428824
S003-WAT-02,T018,S003,5252.364760428824
S003-WAT-03,T018,S003,5252.364760428824
S003-WAT-04,T018,S003,5252.364760428824
S004-FOD-01,T019,S004,5636.56203248392
S004-HYG-01,T019,S004,5636.56203248392
S004-WAT-01,T019,S004,5636.56203248392
S004-WAT-02,T019,S004,5636.56203248392
S004-WAT-03,T019,S004,5636.56203248392
S009-FOD-01,T022,S009,5101.357243119474
S009-WAT-01,T022,S009,5101.357243119474
S015-FOD-01,T020,S015,5414.54492348841
S015-WAT-01,T020,S015,5414.54492348841
S005-HYG-01,T023,S005,5288.268838872595
S005-WAT-03,T023,S005,5288.268838872595
