kind,task,resource,energy_component,start,service_start,service_end,return_time,resource_ready,component_ready,energy_kwh
transport,T001,U07,C04,0.0,0.0,1561.4261775174655,1561.4261775174655,1561.4261775174655,3150.0928537629516,2.788923112291026
transport,T002,U04,A06,1345.0,1345.0,3943.128190684848,3943.128190684848,3943.128190684848,5439.080232101528,3.4475262972115845
transport,T003,U08,C03,0.0,0.0,1429.4261775174655,1429.4261775174655,1429.4261775174655,2947.606630665684,2.52866628854727
transport,T004,U01,A05,118.0,118.0,2399.4599588363917,2399.4599588363917,2399.4599588363917,3767.403580614774,3.0044202292328617
transport,T005,U04,A04,0.0,0.0,1312.470877312685,1312.470877312685,1312.470877312685,2178.7887122874713,1.2680232749127218
transport,T009,U06,B04,1608.0,1608.0,2877.9799172692683,2877.9799172692683,2877.9799172692683,4074.992001224441,1.223874039896552
transport,T011,U02,A03,32.0,32.0,2162.6390887595826,2162.6390887595826,2162.6390887595826,3520.424083728015,2.9692557518138036
transport,T015,U06,B03,23.0,23.0,1577.5713591276817,1577.5713591276817,1577.5713591276817,3033.3575010505742,1.8210449428989826
transport,T006,U06,B03,3064.0,3064.0,4253.630285736439,4253.630285736439,4253.630285736439,5387.07116269932,1.077171254529726
transport,T007,U02,A04,2324.0,2324.0,4932.040897108922,4932.040897108922,4932.040897108922,6385.304360192513,3.299758141443201
transport,T010,U07,C02,1682.0,1682.0,4086.597882910281,4086.597882910281,4086.597882910281,6168.472794610202,4.609999673968939
transport,T008,U05,B01,0.0,0.0,1844.5388901555675,1844.5388901555675,1844.5388901555675,3433.200853234949,2.127681453260112
transport,T012,U08,C01,1460.0,1460.0,3575.081641278453,3575.081641278453,3575.081641278453,6067.747358730121,6.126765725975389
transport,T014,U03,A03,3551.0,3551.0,6031.949414940517,6031.949414940517,6031.949414940517,7439.865329852893,3.142785859312073
transport,T016,U01,A02,2430.0,2430.0,4125.7581046684645,4125.7581046684645,4125.7581046684645,5261.734416824666,2.2014564651560833
transport,T013,U05,B02,2257.0,2257.0,4215.041271486994,4215.041271486994,4215.041271486994,6174.286898972585,2.982874524966748
transport,T021,U06,B01,4284.0,4284.0,6182.041271486994,6182.041271486994,6182.041271486994,8049.223423404604,2.7704203505790983
transport,T017,U03,A01,0.0,0.0,2343.847074711972,2343.847074711972,2343.847074711972,3707.4110579615462,2.9892599420177586
transport,T018,U08,C04,3607.0,3607.0,6042.809520857649,6042.809520857649,6042.809520857649,8541.163800832162,6.1477696491366665
transport,T019,U07,C03,4117.0,4117.0,6356.184064967842,6356.184064967842,6356.184064967842,8824.86184638789,6.038194885243257
transport,T022,U04,A01,3974.0,3974.0,5665.534486238949,5665.534486238949,5665.534486238949,6841.028992918405,2.3382502154288844
transport,T020,U01,A05,4156.0,4156.0,6126.209846976819,6126.209846976819,6126.209846976819,7366.210497663895,2.5615407139167994
transport,T023,U05,B04,4246.0,4246.0,5765.024344411855,5765.024344411855,5765.024344411855,7229.706428350346,1.8415740398580562
relay,R001,R01,RE06,2459.1374190294086,3037.0,5883.0,6302.297538856334,6602.297538856334,7237.0311588115765,1.0701135260436756
relay,R002,R02,RE05,240.49083744349917,959.0,5780.0,6323.534653380882,6623.534653380882,7545.595716150432,1.7773810775865833
relay,R003,R01,RE04,47.04216670878418,776.0,1564.0,2128.20132134867,2428.20132134867,2848.824382394742,0.5430721502672542
