partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,32.529122687315066,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1345.0,3943.128190684848,T022,30.87180931515195,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T022,3974.0,5665.534486238949,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T017,0.0,2343.847074711972,T014,1207.1529252880282,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T014,3551.0,6031.949414940517,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,32.0,2162.6390887595826,T007,161.3609112404174,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T007,2324.0,4932.040897108922,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,118.0,2399.4599588363917,T016,30.540041163608294,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T016,2430.0,4125.7581046684645,T020,30.24189533153549,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T020,4156.0,6126.209846976819,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,412.4611098444325,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,2257.0,4215.041271486994,T023,30.958728513005553,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T023,4246.0,5765.024344411855,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,23.0,1577.5713591276817,T009,30.428640872318283,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1608.0,2877.9799172692683,T021,1406.0200827307317,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,4284.0,6182.041271486994,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,120.57382248253452,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1682.0,4086.597882910281,T019,30.402117089719013,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4117.0,6356.184064967842,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,30.573822482534524,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1460.0,3575.081641278453,T018,31.918358721547065,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3607.0,6042.809520857649,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T007,145.2112877125287,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T007,2324.0,6385.304360192513,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T017,0.0,3707.4110579615462,T020,448.58894203845375,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T020,4156.0,7366.210497663895,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,32.0,3520.424083728015,T014,30.57591627198508,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T014,3551.0,7439.865329852893,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T004,118.0,3767.403580614774,T022,206.596419385226,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T022,3974.0,6841.028992918405,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1345.0,5439.080232101528,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T016,2430.0,5261.734416824666,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T021,850.7991467650509,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T021,4284.0,8049.223423404604,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,23.0,3033.3575010505742,T023,1212.6424989494258,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T023,4246.0,7229.706428350346,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T009,1608.0,4074.992001224441,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T013,2257.0,6174.286898972585,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T019,966.9071462370484,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T019,4117.0,8824.86184638789,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T018,659.393369334316,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T018,3607.0,8541.163800832162,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1460.0,6067.747358730121,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1682.0,6168.472794610202,,,C04,existing
