sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T001,climb,0,510.0,568.1426440429688,direct,,28.982830377148545,obstruction_upper_bound,PASS
T001,cruise,1,568.1426440429688,726.0,direct,,3.4463606037722236,obstruction_upper_bound,PASS
T001,cruise,1,726.0,772.3697837050219,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,772.3697837050219,816.8980887587328,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,handoff,3,816.8980887587328,903.0,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T001,handoff,3,903.0,1248.8980887587327,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T001,climb,4,1248.8980887587327,1284.5207328017013,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,cruise,5,1284.5207328017013,1488.7478724637544,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,descent,6,1488.7478724637544,1561.4261775174655,direct,,28.982830377148545,obstruction_upper_bound,PASS
T002,climb,0,1703.0,1791.3506103515624,direct,,23.160616126613668,obstruction_upper_bound,PASS
T002,cruise,1,1791.3506103515624,1993.3797896265535,direct,,3.2091945767026324,obstruction_upper_bound,PASS
T002,cruise,1,1993.3797896265535,2195.4089689015445,relay,R002,1.2082405094231277,independent_swept_cells,PASS
T002,descent,2,2195.4089689015445,2211.8297013234196,relay,R002,2.604887094703342,independent_swept_cells,PASS
T002,handoff,3,2211.8297013234196,2421.8297013234196,relay,R002,2.604887094703342,independent_swept_cells,PASS
T002,climb,4,2421.8297013234196,2448.775740141779,relay,R002,2.604887094703342,independent_swept_cells,PASS
T002,cruise,5,2448.775740141779,2895.0,relay,R002,0.9727190601561233,independent_swept_cells,PASS
T002,cruise,5,2895.0,3118.932126243044,relay,R001,4.684936344501038,independent_swept_cells,PASS
T002,descent,6,3118.932126243044,3152.547372825075,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T002,handoff,7,3152.547372825075,3332.547372825075,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T002,climb,8,3332.547372825075,3383.6575311095803,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T002,cruise,9,3383.6575311095803,3761.476000743442,relay,R001,4.684936344501038,independent_swept_cells,PASS
T002,descent,10,3761.476000743442,3911.128190684848,direct,,19.962509130395112,obstruction_upper_bound,PASS
T003,climb,0,450.0,508.14264404296875,direct,,28.982830377148545,obstruction_upper_bound,PASS
T003,cruise,1,508.14264404296875,712.3697837050219,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,712.3697837050219,726.0,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,726.0,756.8980887587328,direct,,1.21709186542855,obstruction_upper_bound,PASS
T003,handoff,3,756.8980887587328,903.0,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T003,handoff,3,903.0,1116.8980887587327,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T003,climb,4,1116.8980887587327,1152.5207328017013,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,cruise,5,1152.5207328017013,1356.7478724637544,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,descent,6,1356.7478724637544,1429.4261775174655,direct,,28.982830377148545,obstruction_upper_bound,PASS
T004,climb,0,390.0,445.1763041178385,direct,,27.686789494765073,obstruction_upper_bound,PASS
T004,cruise,1,445.1763041178385,726.0,direct,,0.38512237653991477,obstruction_upper_bound,PASS
T004,cruise,1,726.0,903.0,relay,R003,0.03130229755301883,independent_swept_cells,PASS
T004,cruise,1,903.0,922.0656781780683,relay,R002,3.7058870194579256,obstruction_upper_bound,PASS
T004,descent,2,922.0656781780683,947.3572431194746,relay,R002,5.0396367947638225,obstruction_upper_bound,PASS
T004,handoff,3,947.3572431194746,1127.3572431194746,relay,R002,5.0396367947638225,obstruction_upper_bound,PASS
T004,climb,4,1127.3572431194746,1160.1194603232507,relay,R002,5.0396367947638225,obstruction_upper_bound,PASS
T004,cruise,5,1160.1194603232507,1304.3596865163627,relay,R002,4.470058273677994,obstruction_upper_bound,PASS
T004,descent,6,1304.3596865163627,1347.8743471608939,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T004,handoff,7,1347.8743471608939,1557.8743471608939,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T004,climb,8,1557.8743471608939,1568.0,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T004,climb,8,1568.0,1588.4470400319876,relay,R002,4.342944929800751,obstruction_upper_bound,PASS
T004,cruise,9,1588.4470400319876,1898.2498837115336,relay,R002,6.076162459558585,independent_swept_cells,PASS
T004,cruise,9,1898.2498837115336,2053.1513055513065,relay,R002,1.6482283617869289,independent_swept_cells,PASS
T004,cruise,9,2053.1513055513065,2208.0527273910793,direct,,5.527276229330184,obstruction_upper_bound,PASS
T004,descent,10,2208.0527273910793,2281.4599588363917,direct,,26.67445965789763,obstruction_upper_bound,PASS
T005,climb,0,390.0,438.45220336914065,direct,,28.982830377148545,obstruction_upper_bound,PASS
T005,cruise,1,438.45220336914065,693.736127946707,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,descent,2,693.736127946707,726.0,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,descent,2,726.0,729.3587719896758,direct,,1.2206182906003207,obstruction_upper_bound,PASS
T005,handoff,3,729.3587719896758,903.0,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T005,handoff,3,903.0,969.3587719896758,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T005,climb,4,969.3587719896758,999.0443086921498,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,cruise,5,999.0443086921498,1254.3282332697163,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,descent,6,1254.3282332697163,1312.470877312685,direct,,28.982830377148545,obstruction_upper_bound,PASS
T006,climb,0,3401.0,3456.8872517903646,direct,,27.560414627442945,obstruction_upper_bound,PASS
T006,cruise,1,3456.8872517903646,3644.697107386449,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,descent,2,3644.697107386449,3678.001809534886,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,handoff,3,3678.001809534886,3918.001809534886,direct,,1.9472034845106343,obstruction_upper_bound,PASS
T006,climb,4,3918.001809534886,3945.7557279919174,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,cruise,5,3945.7557279919174,4133.565583588002,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,descent,6,4133.565583588002,4200.630285736439,direct,,27.56041462744298,obstruction_upper_bound,PASS
T007,climb,0,2672.0,2816.701379394531,direct,,18.60358375633274,obstruction_upper_bound,PASS
T007,cruise,1,2816.701379394531,2895.0,direct,,10.71548205355046,obstruction_upper_bound,PASS
T007,cruise,1,2895.0,3421.7901744740184,direct,,3.710887034865948,independent_swept_cells,PASS
T007,descent,2,3421.7901744740184,3511.111829747456,relay,R001,2.7243562827461787,independent_swept_cells,PASS
T007,handoff,3,3511.111829747456,3721.111829747456,relay,R001,2.7243562827461787,independent_swept_cells,PASS
T007,climb,4,3721.111829747456,3772.839612950581,relay,R001,2.7243562827461787,independent_swept_cells,PASS
T007,cruise,5,3772.839612950581,3990.702633776762,relay,R001,2.751013713102269,independent_swept_cells,PASS
T007,descent,6,3990.702633776762,3998.375973620512,relay,R001,4.547353307379366,independent_swept_cells,PASS
T007,handoff,7,3998.375973620512,4178.375973620512,relay,R001,4.547353307379366,independent_swept_cells,PASS
T007,climb,8,4178.375973620512,4210.80905874421,relay,R001,4.547353307379366,independent_swept_cells,PASS
T007,cruise,9,4210.80905874421,4712.401194960485,relay,R001,4.564399251245414,independent_swept_cells,PASS
T007,descent,10,4712.401194960485,4890.040897108922,direct,,18.39642496715183,obstruction_upper_bound,PASS
T008,climb,0,390.0,539.2812744140625,direct,,18.320069836068832,obstruction_upper_bound,PASS
T008,cruise,1,539.2812744140625,726.0,direct,,1.900009509100066,obstruction_upper_bound,PASS
T008,cruise,1,726.0,900.0085824475755,relay,R003,2.304250601919559,obstruction_upper_bound,PASS
T008,descent,2,900.0085824475755,903.0,relay,R003,2.301105404129144,obstruction_upper_bound,PASS
T008,descent,2,903.0,989.8261117444505,relay,R003,2.0994676664544194,obstruction_upper_bound,PASS
T008,handoff,3,989.8261117444505,1229.8261117444504,relay,R003,2.0994676664544194,obstruction_upper_bound,PASS
T008,climb,4,1229.8261117444504,1304.6740528251796,relay,R003,2.0994676664544194,obstruction_upper_bound,PASS
T008,cruise,5,1304.6740528251796,1568.0,relay,R003,2.710217075986666,independent_swept_cells,PASS
T008,cruise,5,1568.0,1665.4013608586924,direct,,7.2953770258155615,obstruction_upper_bound,PASS
T008,descent,6,1665.4013608586924,1844.5388901555675,direct,,18.320069836068832,obstruction_upper_bound,PASS
T009,climb,0,1945.0,2025.2384989420573,direct,,24.06911862942026,obstruction_upper_bound,PASS
T009,cruise,1,2025.2384989420573,2237.3070932374985,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,descent,2,2237.3070932374985,2258.7532919679675,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,handoff,3,2258.7532919679675,2498.7532919679675,direct,,0.882429799933238,obstruction_upper_bound,PASS
T009,climb,4,2498.7532919679675,2516.625124243358,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,cruise,5,2516.625124243358,2728.693718538799,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,descent,6,2728.693718538799,2824.979917269268,direct,,24.06911862942026,obstruction_upper_bound,PASS
T010,climb,0,2079.0,2175.2861987304686,direct,,24.069118629420267,obstruction_upper_bound,PASS
T010,cruise,1,2175.2861987304686,2387.35479302591,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T010,descent,2,2387.35479302591,2414.162541438996,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T010,handoff,3,2414.162541438996,2702.162541438996,direct,,0.882429799933238,obstruction_upper_bound,PASS
T010,climb,4,2702.162541438996,2811.436828548371,direct,,0.811985579259483,obstruction_upper_bound,PASS
T010,cruise,5,2811.436828548371,2853.2184142741853,direct,,0.2534265464224621,obstruction_upper_bound,PASS
T010,cruise,5,2853.2184142741853,2863.6638107056388,direct,,0.08048137553908852,obstruction_upper_bound,PASS
T010,cruise,5,2863.6638107056388,2874.1092071370927,direct,,9.89733267702881,independent_swept_cells,PASS
T010,cruise,5,2874.1092071370927,2895.0,direct,,9.506525566585015,independent_swept_cells,PASS
T010,cruise,5,2895.0,2979.2028209483087,relay,R001,2.21256603135382,obstruction_upper_bound,PASS
T010,descent,6,2979.2028209483087,3098.9456798350275,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T010,handoff,7,3098.9456798350275,3422.9456798350275,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T010,climb,8,3422.9456798350275,3484.277869776434,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T010,cruise,9,3484.277869776434,3786.532645483523,relay,R001,4.684936344501038,independent_swept_cells,PASS
T010,descent,10,3786.532645483523,3973.597882910281,direct,,19.962509130395112,obstruction_upper_bound,PASS
T011,climb,0,360.0,459.796787516276,direct,,22.02154674108874,obstruction_upper_bound,PASS
T011,cruise,1,459.796787516276,726.0,direct,,0.8240210150319403,obstruction_upper_bound,PASS
T011,cruise,1,726.0,903.0,relay,R003,2.710217075986666,independent_swept_cells,PASS
T011,cruise,1,903.0,1076.33339936026,relay,R002,4.353178140347264,independent_swept_cells,PASS
T011,descent,2,1076.33339936026,1135.2495443797914,relay,R003,0.05451783094126483,independent_swept_cells,PASS
T011,handoff,3,1135.2495443797914,1345.2495443797914,relay,R003,0.05451783094126483,independent_swept_cells,PASS
T011,climb,4,1345.2495443797914,1394.3463318960673,relay,R003,0.05451783094126483,independent_swept_cells,PASS
T011,cruise,5,1394.3463318960673,1568.0,relay,R002,4.353176737946725,independent_swept_cells,PASS
T011,cruise,5,1568.0,1789.4414718700257,relay,R002,2.3038505237535745,independent_swept_cells,PASS
T011,cruise,5,1789.4414718700257,2010.8829437400514,direct,,2.408459219790277,obstruction_upper_bound,PASS
T011,descent,6,2010.8829437400514,2130.6390887595826,direct,,22.02154674108874,obstruction_upper_bound,PASS
T012,climb,0,1910.0,1983.4072314453124,direct,,26.674459657897643,obstruction_upper_bound,PASS
T012,cruise,1,1983.4072314453124,2107.328368917131,direct,,5.527276229330184,obstruction_upper_bound,PASS
T012,cruise,1,2107.328368917131,2231.249506388949,relay,R002,1.6482283617869289,independent_swept_cells,PASS
T012,cruise,1,2231.249506388949,2479.091781332586,relay,R002,6.076162459558585,independent_swept_cells,PASS
T012,descent,2,2479.091781332586,2524.9508206392265,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,handoff,3,2524.9508206392265,2895.0,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,handoff,3,2895.0,2920.9508206392265,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,climb,4,2920.9508206392265,2957.638052084539,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,cruise,5,2957.638052084539,3205.4803270281755,relay,R002,6.076162459559777,independent_swept_cells,PASS
T012,cruise,5,3205.4803270281755,3453.322601971812,relay,R001,1.4141813452421594,independent_swept_cells,PASS
T012,descent,6,3453.322601971812,3545.081641278453,direct,,26.67445965789763,obstruction_upper_bound,PASS
T013,climb,0,2235.0,2314.9529561360678,direct,,24.102895398396285,obstruction_upper_bound,PASS
T013,cruise,1,2314.9529561360678,2450.1106558637716,direct,,4.756239120518842,obstruction_upper_bound,PASS
T013,cruise,1,2450.1106558637716,2585.2683555914755,direct,,8.773665138270266,independent_swept_cells,PASS
T013,cruise,1,2585.2683555914755,2855.5837550468827,relay,R002,2.1702216187923113,independent_swept_cells,PASS
T013,descent,2,2855.5837550468827,2894.2473024101637,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,handoff,3,2894.247302410164,2895.0,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,handoff,3,2895.0,3134.247302410164,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,climb,4,3134.247302410164,3166.466925212899,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,cruise,5,3166.466925212899,3436.782324668306,relay,R002,2.1702216187923113,independent_swept_cells,PASS
T013,cruise,5,3436.782324668306,3707.0977241237133,relay,R001,4.684936344501038,independent_swept_cells,PASS
T013,descent,6,3707.0977241237133,3803.041271486995,direct,,24.102895398396285,obstruction_upper_bound,PASS
T014,climb,0,2521.0,2587.236962890625,direct,,25.90275487714976,obstruction_upper_bound,PASS
T014,cruise,1,2587.236962890625,2741.1184814453127,direct,,5.577929417709058,obstruction_upper_bound,PASS
T014,cruise,1,2741.1184814453127,2895.0,direct,,9.587659941453825,independent_swept_cells,PASS
T014,cruise,1,2895.0,3029.071363532149,relay,R002,4.4473780271545795,independent_swept_cells,PASS
T014,descent,2,3029.071363532149,3081.635719000899,relay,R001,1.5198508951701708,independent_swept_cells,PASS
T014,handoff,3,3081.635719000899,3291.635719000899,relay,R001,1.5198508951701708,independent_swept_cells,PASS
T014,climb,4,3291.635719000899,3348.5712455308467,relay,R001,1.5198508951701708,independent_swept_cells,PASS
T014,cruise,5,3348.5712455308467,3566.613749284754,relay,R002,6.916262669418204,independent_swept_cells,PASS
T014,descent,6,3566.613749284754,3621.6163811206916,relay,R002,8.427562711646836,independent_swept_cells,PASS
T014,handoff,7,3621.6163811206916,3801.6163811206916,relay,R002,8.427562711646836,independent_swept_cells,PASS
T014,climb,8,3801.6163811206916,3858.2627698739466,relay,R002,8.427562711646836,independent_swept_cells,PASS
T014,cruise,9,3858.2627698739466,4180.998259155279,relay,R002,5.824767232489318,independent_swept_cells,PASS
T014,cruise,9,4180.998259155279,4503.733748436611,relay,R001,2.7746239167267213,independent_swept_cells,PASS
T014,descent,10,4503.733748436611,4611.949414940516,direct,,22.968262608738186,obstruction_upper_bound,PASS
T015,climb,0,390.0,492.6455118815104,direct,,21.759839664518097,obstruction_upper_bound,PASS
T015,cruise,1,492.6455118815104,726.0,direct,,0.03401233628517275,obstruction_upper_bound,PASS
T015,cruise,1,726.0,811.207731972695,relay,R003,0.8145661856189221,obstruction_upper_bound,PASS
T015,descent,2,811.207731972695,844.8223462305075,relay,R003,0.739884337460925,obstruction_upper_bound,PASS
T015,handoff,3,844.8223462305075,903.0,relay,R003,0.739884337460925,obstruction_upper_bound,PASS
T015,handoff,3,903.0,1084.8223462305075,relay,R003,0.739884337460925,obstruction_upper_bound,PASS
