sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T001,climb,0,510.0,568.1426440429688,direct,,28.982830377148545,obstruction_upper_bound,PASS
T001,cruise,1,568.1426440429688,726.0,direct,,3.4463606037722236,obstruction_upper_bound,PASS
T001,cruise,1,726.0,772.3697837050219,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,descent,2,772.3697837050219,816.8980887587328,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,handoff,3,816.8980887587328,903.0,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T001,handoff,3,903.0,1248.8980887587327,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T001,climb,4,1248.8980887587327,1284.5207328017013,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,cruise,5,1284.5207328017013,1488.7478724637544,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T001,descent,6,1488.7478724637544,1561.4261775174655,direct,,28.982830377148545,obstruction_upper_bound,PASS
T002,climb,0,1733.0,1821.3506103515624,direct,,23.160616126613668,obstruction_upper_bound,PASS
T002,cruise,1,1821.3506103515624,2023.3797896265535,direct,,3.2091945767026324,obstruction_upper_bound,PASS
T002,cruise,1,2023.3797896265535,2225.4089689015445,relay,R002,1.2082405094231277,independent_swept_cells,PASS
T002,descent,2,2225.4089689015445,2241.8297013234196,relay,R002,2.604887094703342,independent_swept_cells,PASS
T002,handoff,3,2241.8297013234196,2451.8297013234196,relay,R002,2.604887094703342,independent_swept_cells,PASS
T002,climb,4,2451.8297013234196,2478.775740141779,relay,R002,2.604887094703342,independent_swept_cells,PASS
T002,cruise,5,2478.775740141779,2925.0,relay,R002,0.9727190601561233,independent_swept_cells,PASS
T002,cruise,5,2925.0,3148.932126243044,relay,R001,4.684936344501038,independent_swept_cells,PASS
T002,descent,6,3148.932126243044,3182.547372825075,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T002,handoff,7,3182.547372825075,3362.547372825075,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T002,climb,8,3362.547372825075,3413.6575311095803,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T002,cruise,9,3413.6575311095803,3791.476000743442,relay,R001,4.684936344501038,independent_swept_cells,PASS
T002,descent,10,3791.476000743442,3941.128190684848,direct,,19.962509130395112,obstruction_upper_bound,PASS
T003,climb,0,450.0,508.14264404296875,direct,,28.982830377148545,obstruction_upper_bound,PASS
T003,cruise,1,508.14264404296875,712.3697837050219,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,712.3697837050219,726.0,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,descent,2,726.0,756.8980887587328,direct,,1.21709186542855,obstruction_upper_bound,PASS
T003,handoff,3,756.8980887587328,903.0,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T003,handoff,3,903.0,1116.8980887587327,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T003,climb,4,1116.8980887587327,1152.5207328017013,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,cruise,5,1152.5207328017013,1356.7478724637544,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T003,descent,6,1356.7478724637544,1429.4261775174655,direct,,28.982830377148545,obstruction_upper_bound,PASS
T004,climb,0,390.0,445.1763041178385,direct,,27.686789494765073,obstruction_upper_bound,PASS
T004,cruise,1,445.1763041178385,726.0,direct,,0.38512237653991477,obstruction_upper_bound,PASS
T004,cruise,1,726.0,903.0,relay,R003,0.03130229755301883,independent_swept_cells,PASS
T004,cruise,1,903.0,922.0656781780683,relay,R002,3.7058870194579256,obstruction_upper_bound,PASS
T004,descent,2,922.0656781780683,947.3572431194746,relay,R002,5.0396367947638225,obstruction_upper_bound,PASS
T004,handoff,3,947.3572431194746,1127.3572431194746,relay,R002,5.0396367947638225,obstruction_upper_bound,PASS
T004,climb,4,1127.3572431194746,1160.1194603232507,relay,R002,5.0396367947638225,obstruction_upper_bound,PASS
T004,cruise,5,1160.1194603232507,1304.3596865163627,relay,R002,4.470058273677994,obstruction_upper_bound,PASS
T004,descent,6,1304.3596865163627,1347.8743471608939,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T004,handoff,7,1347.8743471608939,1557.8743471608939,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T004,climb,8,1557.8743471608939,1568.0,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T004,climb,8,1568.0,1588.4470400319876,relay,R002,4.342944929800751,obstruction_upper_bound,PASS
T004,cruise,9,1588.4470400319876,1898.2498837115336,relay,R002,6.076162459558585,independent_swept_cells,PASS
T004,cruise,9,1898.2498837115336,2053.1513055513065,relay,R002,1.6482283617869289,independent_swept_cells,PASS
T004,cruise,9,2053.1513055513065,2208.0527273910793,direct,,5.527276229330184,obstruction_upper_bound,PASS
T004,descent,10,2208.0527273910793,2281.4599588363917,direct,,26.67445965789763,obstruction_upper_bound,PASS
T005,climb,0,390.0,438.45220336914065,direct,,28.982830377148545,obstruction_upper_bound,PASS
T005,cruise,1,438.45220336914065,693.736127946707,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,descent,2,693.736127946707,726.0,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,descent,2,726.0,729.3587719896758,direct,,1.2206182906003207,obstruction_upper_bound,PASS
T005,handoff,3,729.3587719896758,903.0,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T005,handoff,3,903.0,969.3587719896758,direct,,1.2209329737202967,obstruction_upper_bound,PASS
T005,climb,4,969.3587719896758,999.0443086921498,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,cruise,5,999.0443086921498,1254.3282332697163,direct,,1.2142767659980365,obstruction_upper_bound,PASS
T005,descent,6,1254.3282332697163,1312.470877312685,direct,,28.982830377148545,obstruction_upper_bound,PASS
T006,climb,0,3431.0,3486.8872517903646,direct,,27.560414627442945,obstruction_upper_bound,PASS
T006,cruise,1,3486.8872517903646,3674.697107386449,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,descent,2,3674.697107386449,3708.001809534886,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,handoff,3,3708.001809534886,3948.001809534886,direct,,1.9472034845106343,obstruction_upper_bound,PASS
T006,climb,4,3948.001809534886,3975.7557279919174,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,cruise,5,3975.7557279919174,4163.565583588002,direct,,1.9375573644603516,obstruction_upper_bound,PASS
T006,descent,6,4163.565583588002,4230.630285736439,direct,,27.56041462744298,obstruction_upper_bound,PASS
T007,climb,0,2702.0,2846.701379394531,direct,,18.60358375633274,obstruction_upper_bound,PASS
T007,cruise,1,2846.701379394531,2925.0,direct,,10.71548205355046,obstruction_upper_bound,PASS
T007,cruise,1,2925.0,3451.7901744740184,direct,,3.710887034865948,independent_swept_cells,PASS
T007,descent,2,3451.7901744740184,3541.111829747456,relay,R001,2.7243562827461787,independent_swept_cells,PASS
T007,handoff,3,3541.111829747456,3751.111829747456,relay,R001,2.7243562827461787,independent_swept_cells,PASS
T007,climb,4,3751.111829747456,3802.839612950581,relay,R001,2.7243562827461787,independent_swept_cells,PASS
T007,cruise,5,3802.839612950581,4020.702633776762,relay,R001,2.751013713102269,independent_swept_cells,PASS
T007,descent,6,4020.702633776762,4028.375973620512,relay,R001,4.547353307379366,independent_swept_cells,PASS
T007,handoff,7,4028.375973620512,4208.375973620512,relay,R001,4.547353307379366,independent_swept_cells,PASS
T007,climb,8,4208.375973620512,4240.80905874421,relay,R001,4.547353307379366,independent_swept_cells,PASS
T007,cruise,9,4240.80905874421,4742.401194960485,relay,R001,4.564399251245414,independent_swept_cells,PASS
T007,descent,10,4742.401194960485,4920.040897108922,direct,,18.39642496715183,obstruction_upper_bound,PASS
T008,climb,0,390.0,539.2812744140625,direct,,18.320069836068832,obstruction_upper_bound,PASS
T008,cruise,1,539.2812744140625,726.0,direct,,1.900009509100066,obstruction_upper_bound,PASS
T008,cruise,1,726.0,900.0085824475755,relay,R003,2.304250601919559,obstruction_upper_bound,PASS
T008,descent,2,900.0085824475755,903.0,relay,R003,2.301105404129144,obstruction_upper_bound,PASS
T008,descent,2,903.0,989.8261117444505,relay,R003,2.0994676664544194,obstruction_upper_bound,PASS
T008,handoff,3,989.8261117444505,1229.8261117444504,relay,R003,2.0994676664544194,obstruction_upper_bound,PASS
T008,climb,4,1229.8261117444504,1304.6740528251796,relay,R003,2.0994676664544194,obstruction_upper_bound,PASS
T008,cruise,5,1304.6740528251796,1568.0,relay,R003,2.710217075986666,independent_swept_cells,PASS
T008,cruise,5,1568.0,1665.4013608586924,direct,,7.2953770258155615,obstruction_upper_bound,PASS
T008,descent,6,1665.4013608586924,1844.5388901555675,direct,,18.320069836068832,obstruction_upper_bound,PASS
T009,climb,0,1975.0,2055.238498942057,direct,,24.069118629420288,obstruction_upper_bound,PASS
T009,cruise,1,2055.238498942057,2267.3070932374985,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,descent,2,2267.3070932374985,2288.7532919679675,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,handoff,3,2288.7532919679675,2528.7532919679675,direct,,0.882429799933238,obstruction_upper_bound,PASS
T009,climb,4,2528.7532919679675,2546.625124243358,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,cruise,5,2546.625124243358,2758.693718538799,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T009,descent,6,2758.693718538799,2854.979917269268,direct,,24.06911862942026,obstruction_upper_bound,PASS
T010,climb,0,2109.0,2205.2861987304686,direct,,24.069118629420267,obstruction_upper_bound,PASS
T010,cruise,1,2205.2861987304686,2417.35479302591,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T010,descent,2,2417.35479302591,2444.162541438996,direct,,0.8735394127871192,obstruction_upper_bound,PASS
T010,handoff,3,2444.162541438996,2732.162541438996,direct,,0.882429799933238,obstruction_upper_bound,PASS
T010,climb,4,2732.162541438996,2841.436828548371,direct,,0.811985579259483,obstruction_upper_bound,PASS
T010,cruise,5,2841.436828548371,2883.2184142741853,direct,,0.2534265464224621,obstruction_upper_bound,PASS
T010,cruise,5,2883.2184142741853,2893.6638107056388,direct,,0.08048137553908852,obstruction_upper_bound,PASS
T010,cruise,5,2893.6638107056388,2904.1092071370927,direct,,9.89733267702881,independent_swept_cells,PASS
T010,cruise,5,2904.1092071370927,2925.0,direct,,9.506525566585015,independent_swept_cells,PASS
T010,cruise,5,2925.0,3009.2028209483087,relay,R001,2.21256603135382,obstruction_upper_bound,PASS
T010,descent,6,3009.2028209483087,3128.9456798350275,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T010,handoff,7,3128.9456798350275,3452.9456798350275,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T010,climb,8,3452.9456798350275,3514.277869776434,relay,R001,1.916287346872787,obstruction_upper_bound,PASS
T010,cruise,9,3514.277869776434,3816.532645483523,relay,R001,4.684936344501038,independent_swept_cells,PASS
T010,descent,10,3816.532645483523,4003.597882910281,direct,,19.962509130395112,obstruction_upper_bound,PASS
T011,climb,0,360.0,459.796787516276,direct,,22.02154674108874,obstruction_upper_bound,PASS
T011,cruise,1,459.796787516276,726.0,direct,,0.8240210150319403,obstruction_upper_bound,PASS
T011,cruise,1,726.0,903.0,relay,R003,2.710217075986666,independent_swept_cells,PASS
T011,cruise,1,903.0,1076.33339936026,relay,R002,4.353178140347264,independent_swept_cells,PASS
T011,descent,2,1076.33339936026,1135.2495443797914,relay,R003,0.05451783094126483,independent_swept_cells,PASS
T011,handoff,3,1135.2495443797914,1345.2495443797914,relay,R003,0.05451783094126483,independent_swept_cells,PASS
T011,climb,4,1345.2495443797914,1394.3463318960673,relay,R003,0.05451783094126483,independent_swept_cells,PASS
T011,cruise,5,1394.3463318960673,1568.0,relay,R002,4.353176737946725,independent_swept_cells,PASS
T011,cruise,5,1568.0,1789.4414718700257,relay,R002,2.3038505237535745,independent_swept_cells,PASS
T011,cruise,5,1789.4414718700257,2010.8829437400514,direct,,2.408459219790277,obstruction_upper_bound,PASS
T011,descent,6,2010.8829437400514,2130.6390887595826,direct,,22.02154674108874,obstruction_upper_bound,PASS
T012,climb,0,1940.0,2013.4072314453124,direct,,26.674459657897643,obstruction_upper_bound,PASS
T012,cruise,1,2013.4072314453124,2137.328368917131,direct,,5.527276229330184,obstruction_upper_bound,PASS
T012,cruise,1,2137.328368917131,2261.249506388949,relay,R002,1.6482283617869289,independent_swept_cells,PASS
T012,cruise,1,2261.249506388949,2509.091781332586,relay,R002,6.076162459558585,independent_swept_cells,PASS
T012,descent,2,2509.091781332586,2554.9508206392265,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,handoff,3,2554.9508206392265,2925.0,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,handoff,3,2925.0,2950.9508206392265,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,climb,4,2950.9508206392265,2987.638052084539,relay,R002,4.282255880880729,obstruction_upper_bound,PASS
T012,cruise,5,2987.638052084539,3235.4803270281755,relay,R002,6.076162459559777,independent_swept_cells,PASS
T012,cruise,5,3235.4803270281755,3483.322601971812,relay,R001,1.4141813452421594,independent_swept_cells,PASS
T012,descent,6,3483.322601971812,3575.081641278453,direct,,26.67445965789763,obstruction_upper_bound,PASS
T013,climb,0,2265.0,2344.9529561360678,direct,,24.102895398396285,obstruction_upper_bound,PASS
T013,cruise,1,2344.9529561360678,2480.1106558637716,direct,,4.756239120518842,obstruction_upper_bound,PASS
T013,cruise,1,2480.1106558637716,2615.2683555914755,direct,,8.773665138270266,independent_swept_cells,PASS
T013,cruise,1,2615.2683555914755,2885.5837550468827,relay,R002,2.1702216187923113,independent_swept_cells,PASS
T013,descent,2,2885.5837550468827,2924.2473024101637,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,handoff,3,2924.247302410164,2925.0,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,handoff,3,2925.0,3164.247302410164,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,climb,4,3164.247302410164,3196.466925212899,relay,R002,2.1632287616382335,independent_swept_cells,PASS
T013,cruise,5,3196.466925212899,3466.782324668306,relay,R002,2.1702216187923113,independent_swept_cells,PASS
T013,cruise,5,3466.782324668306,3737.0977241237133,relay,R001,4.684936344501038,independent_swept_cells,PASS
T013,descent,6,3737.0977241237133,3833.041271486995,direct,,24.102895398396285,obstruction_upper_bound,PASS
T014,climb,0,2551.0,2617.236962890625,direct,,25.90275487714976,obstruction_upper_bound,PASS
T014,cruise,1,2617.236962890625,2771.1184814453127,direct,,5.577929417709058,obstruction_upper_bound,PASS
T014,cruise,1,2771.1184814453127,2925.0,direct,,9.587659941453825,independent_swept_cells,PASS
T014,cruise,1,2925.0,3059.071363532149,relay,R002,4.4473780271545795,independent_swept_cells,PASS
T014,descent,2,3059.071363532149,3111.635719000899,relay,R001,1.5198508951701708,independent_swept_cells,PASS
T014,handoff,3,3111.635719000899,3321.635719000899,relay,R001,1.5198508951701708,independent_swept_cells,PASS
T014,climb,4,3321.635719000899,3378.5712455308467,relay,R001,1.5198508951701708,independent_swept_cells,PASS
T014,cruise,5,3378.5712455308467,3596.613749284754,relay,R002,6.916262669418204,independent_swept_cells,PASS
T014,descent,6,3596.613749284754,3651.6163811206916,relay,R002,8.427562711646836,independent_swept_cells,PASS
T014,handoff,7,3651.6163811206916,3831.6163811206916,relay,R002,8.427562711646836,independent_swept_cells,PASS
T014,climb,8,3831.6163811206916,3888.2627698739466,relay,R002,8.427562711646836,independent_swept_cells,PASS
T014,cruise,9,3888.2627698739466,4210.998259155279,relay,R002,5.824767232489318,independent_swept_cells,PASS
T014,cruise,9,4210.998259155279,4533.733748436611,relay,R001,2.7746239167267213,independent_swept_cells,PASS
T014,descent,10,4533.733748436611,4641.949414940516,direct,,22.968262608738186,obstruction_upper_bound,PASS
T015,climb,0,390.0,492.6455118815104,direct,,21.759839664518097,obstruction_upper_bound,PASS
T015,cruise,1,492.6455118815104,726.0,direct,,0.03401233628517275,obstruction_upper_bound,PASS
T015,cruise,1,726.0,811.207731972695,relay,R003,0.8145661856189221,obstruction_upper_bound,PASS
T015,descent,2,811.207731972695,844.8223462305075,relay,R003,0.739884337460925,obstruction_upper_bound,PASS
T015,handoff,3,844.8223462305075,903.0,relay,R003,0.739884337460925,obstruction_upper_bound,PASS
T015,handoff,3,903.0,1084.8223462305075,relay,R003,0.739884337460925,obstruction_upper_bound,PASS
