kind,task,resource,energy_component,start,service_start,service_end,return_time,resource_ready,component_ready,energy_kwh
transport,T001,U08,C04,0.0,0.0,1561.4261775174655,1561.4261775174655,1561.4261775174655,3150.0928537629516,2.788923112291026
transport,T002,U01,A06,1343.0,1343.0,3941.128190684848,3941.128190684848,3941.128190684848,5437.080232101528,3.4475262972115845
transport,T003,U07,C03,0.0,0.0,1429.4261775174655,1429.4261775174655,1429.4261775174655,2947.606630665684,2.52866628854727
transport,T004,U03,A05,0.0,0.0,2281.4599588363917,2281.4599588363917,2281.4599588363917,3649.403580614774,3.0044202292328617
transport,T005,U01,A04,0.0,0.0,1312.470877312685,1312.470877312685,1312.470877312685,2178.7887122874713,1.2680232749127218
transport,T009,U06,B01,1585.0,1585.0,2854.9799172692683,2854.9799172692683,2854.9799172692683,4051.992001224441,1.223874039896552
transport,T011,U04,A03,0.0,0.0,2130.6390887595826,2130.6390887595826,2130.6390887595826,3488.424083728015,2.9692557518138036
transport,T015,U06,B03,0.0,0.0,1554.5713591276817,1554.5713591276817,1554.5713591276817,3010.3575010505742,1.8210449428989826
transport,T006,U06,B03,3041.0,3041.0,4230.630285736439,4230.630285736439,4230.630285736439,5364.07116269932,1.077171254529726
transport,T007,U03,A04,2312.0,2312.0,4920.040897108922,4920.040897108922,4920.040897108922,6373.304360192513,3.299758141443201
transport,T010,U08,C02,1599.0,1599.0,4003.597882910281,4003.597882910281,4003.597882910281,6085.472794610202,4.609999673968939
transport,T008,U05,B04,0.0,0.0,1844.5388901555675,1844.5388901555675,1844.5388901555675,3433.200853234949,2.127681453260112
transport,T012,U07,C01,1460.0,1460.0,3575.081641278453,3575.081641278453,3575.081641278453,6067.747358730121,6.126765725975389
transport,T014,U04,A02,2161.0,2161.0,4641.949414940517,4641.949414940517,4641.949414940517,6049.865329852893,3.142785859312073
transport,T016,U04,A01,4672.0,4672.0,6367.7581046684645,6367.7581046684645,6367.7581046684645,7503.734416824666,2.2014564651560833
transport,T013,U05,B02,1875.0,1875.0,3833.041271486995,3833.041271486995,3833.041271486995,5792.286898972586,2.982874524966748
transport,T021,U05,B04,3864.0,3864.0,5762.041271486994,5762.041271486994,5762.041271486994,7629.223423404604,2.7704203505790983
transport,T017,U02,A01,0.0,0.0,2343.847074711972,2343.847074711972,2343.847074711972,3707.4110579615462,2.9892599420177586
transport,T018,U07,C04,3606.0,3606.0,6041.809520857649,6041.809520857649,6041.809520857649,8540.163800832162,6.1477696491366665
transport,T019,U08,C03,4034.0,4034.0,6273.184064967842,6273.184064967842,6273.184064967842,8741.86184638789,6.038194885243257
transport,T022,U02,A03,3519.0,3519.0,5210.534486238949,5210.534486238949,5210.534486238949,6386.028992918405,2.3382502154288844
transport,T020,U01,A05,3972.0,3972.0,5942.209846976819,5942.209846976819,5942.209846976819,7182.210497663895,2.5615407139167994
transport,T023,U06,B01,4261.0,4261.0,5780.024344411855,5780.024344411855,5780.024344411855,7244.706428350346,1.8415740398580562
relay,R001,R01,RE06,2347.1374190294086,2925.0,5902.0,6321.297538856334,6621.297538856334,7272.292443533799,1.1101413038214534
relay,R002,R02,RE05,168.18619862107653,903.0,5751.0,6306.905931149839,6606.905931149839,7537.907642814236,1.7993888287123638
relay,R003,R01,RE04,112.1824655536908,726.0,1568.0,2016.241826438497,2316.241826438497,2713.9661784787418,0.48670609732983333
