partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T004,0.0,2281.4599588363917,T007,30.540041163608294,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T007,2312.0,4920.040897108922,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T005,0.0,1312.470877312685,T002,30.529122687315066,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1343.0,3941.128190684848,T020,30.87180931515195,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,3972.0,5942.209846976819,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.0,2130.6390887595826,T014,30.36091124041741,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T014,2161.0,4641.949414940517,T016,30.050585059482728,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,4672.0,6367.7581046684645,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,0.0,2343.847074711972,T022,1175.1529252880282,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,3519.0,5210.534486238949,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,30.461109844432485,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1875.0,3833.041271486995,T021,30.9587285130051,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3864.0,5762.041271486994,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T009,30.428640872318283,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1585.0,2854.9799172692683,T023,1406.0200827307317,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,4261.0,5780.024344411855,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,37.573822482534524,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1599.0,4003.597882910281,T019,30.402117089719013,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4034.0,6273.184064967842,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,30.573822482534524,U08,existing
