partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T004,0.0,2281.4599588363917,T007,30.10010000000011,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T007,2311.560058836392,4919.600955945314,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T005,0.0,1312.470877312685,T002,30.100099999999884,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1342.5709773126848,3940.6991679975326,T020,30.100100000000566,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,3970.799267997533,5941.009114974352,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.0,2130.6390887595826,T014,30.100099999999202,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T014,2160.739188759582,4641.688603700099,T016,30.100100000000566,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,4671.788703700099,6367.546808368564,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,0.0,2343.847074711972,T022,1174.6771097303308,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,3518.5241844423026,5210.058670681252,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,30.10010000000011,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1874.6389901555676,3832.6802616425625,T021,30.10010000000011,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3862.7803616425626,5760.821633129557,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T009,30.100099999999657,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1584.6714591276814,2854.6513763969497,T023,1405.5366103900633,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,4260.187986787013,5779.212331198868,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,36.77852989162261,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1598.204707409088,4002.8025903193693,T019,30.100099999999657,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4032.902690319369,6272.0867552872105,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,30.100099999999884,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1459.5262775174654,3574.6079187959185,T018,30.100099999999657,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3604.708018795918,6040.517539653567,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T004,0.0,3649.403580614774,T016,1022.3851230853252,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T016,4671.788703700099,7503.523120524766,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T005,0.0,2178.7887122874713,T007,132.77134654892052,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T007,2311.560058836392,6372.864419028905,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,0.0,3488.424083728015,T022,30.10010071428769,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T022,3518.5241844423026,6385.553177360707,,,A03,existing
