partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,5.000099999999975,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1317.470977312685,3915.599167997533,T020,5.000100000000657,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T020,3920.599267997534,5890.809114974352,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,0.0,2130.6390887595826,T014,5.0000999999997475,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T014,2135.6391887595823,4616.5886037001,T016,5.000100000001112,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T016,4621.588703700101,6317.346808368566,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,0.0,2343.847074711972,T007,5.000100000000657,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T007,2348.8471747119725,4956.888071820895,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,79.99999500000035,2361.459953836392,T022,1131.964230605914,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,3493.424184442306,5184.958670681255,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.00010000000043,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1849.538990155568,3807.5802616425626,T021,5.000100000000657,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3812.5803616425633,5710.621633129558,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T009,5.000100000000202,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1559.571459127682,2829.55137639695,T023,1380.436610390063,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,4209.987986787013,5729.012331198868,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,11.678529891622475,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1573.104707409088,3977.702590319369,T019,5.000100000000202,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,3982.702690319369,6221.886755287211,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T018,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3554.5080187959184,5990.317539653567,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T007,170.05846242450116,A01,existing
