partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T004,0.0,2281.4599588363917,T007,5.000100208332242,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T007,2286.460059044724,4894.500956153646,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T005,0.0,1312.470877312685,T002,5.000099999999975,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1317.470977312685,3915.599167997533,T020,5.000100000000202,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,3920.5992679975334,5890.809114974352,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.0,2130.6390887595826,T014,5.000100000000202,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T014,2135.639188759583,4616.5886037001,T016,5.000100000000202,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,4621.5887037001,6317.346808368565,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,0.0,2343.847074711972,T022,1149.5771090160424,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,3493.424183728014,5184.9586699669635,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.0000999999997475,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1849.5389901555673,3807.580261642562,T021,5.0000999999997475,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3812.580361642562,5710.621633129556,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T009,5.000099999999975,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1559.5714591276817,2829.55137639695,T023,1380.436610390063,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,4209.987986787013,5729.012331198868,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,11.678529891623384,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1573.1047074090889,3977.70259031937,T019,5.000100000000202,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,3982.70269031937,6221.886755287212,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T018,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3554.5080187959184,5990.317539653567,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T004,0.0,3649.403580614774,T016,972.1851230853263,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T016,4621.5887037001,7453.323120524767,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T005,0.0,2178.7887122874713,T007,107.67134675725265,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T007,2286.460059044724,6347.764419237237,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,0.0,3488.424083728015,T022,5.000099999999293,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T022,3493.424183728014,6360.453176646419,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T017,0.0,3707.4110579615462,T020,213.18821003598714,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T020,3920.5992679975334,7130.809765661428,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1317.470977312685,5411.551209414213,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T014,2135.639188759583,6024.504518612476,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T023,776.787133552064,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T023,4209.987986787013,7193.694415137359,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,0.0,3010.3575010505742,T021,802.2228605919877,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T021,3812.580361642562,7577.803785047166,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T009,1559.5714591276817,4026.563460352123,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T013,1849.5389901555673,5766.825889128153,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T019,832.6098365564185,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T019,3982.70269031937,8690.564536707261,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T018,606.9013881302344,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T018,3554.5080187959184,8488.671819628082,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1434.4262775174655,6042.173636247587,,,C03,existing
