partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T004,0.0,2281.4599588363917,T007,0.20010020833933595,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T007,2281.660059044731,4889.700956153652,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T005,0.0,1312.470877312685,T002,0.20010000000002037,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1312.670977312685,3910.799167997533,T020,0.20010000000002037,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,3910.999267997533,5881.209114974352,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.0,2130.6390887595826,T014,0.20009999999956563,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T014,2130.839188759582,4611.788603700099,T016,0.20010000000092987,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,4611.9887037001,6307.746808368564,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,0.0,2343.847074711972,T022,1144.7771090160422,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,3488.624183728014,5180.158669966963,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,0.20010000000047512,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1844.738990155568,3802.780261642563,T023,397.6077251444508,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T023,4200.387986787014,5719.412331198869,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T009,0.200099999999793,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1554.7714591276815,2824.75137639695,T021,978.2289852456124,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,3802.9803616425625,5701.021633129557,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,6.8785298916227475,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1568.3047074090882,3972.902590319369,T019,0.20010000000002037,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,3973.1026903193692,6212.28675528721,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,0.20010000000002037,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1429.6262775174655,3544.7079187959184,T018,0.20010000000002037,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3544.9080187959185,5980.717539653568,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T004,0.0,3649.403580614774,T016,962.5851230853259,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T016,4611.9887037001,7443.723120524766,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T005,0.0,2178.7887122874713,T007,102.87134675725974,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T007,2281.660059044731,6342.964419237243,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,0.0,3488.424083728015,T022,0.20009999999911088,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T022,3488.624183728014,6355.653176646419,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T017,0.0,3707.4110579615462,T020,203.58821003598678,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T020,3910.999267997533,7121.209765661428,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1312.670977312685,5406.751209414213,,,A05,existing
