partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T004,5.000099999999975,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T004,1317.470977312685,3598.930936149077,T016,5.000100000000202,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T016,3603.931036149077,5299.689140817542,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T009,0.0,1316.0142144169886,T002,17.049988024222557,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1333.0642024412111,3931.192393126059,T020,5.000100000000202,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,3936.192493126059,5906.402340102878,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,0.0,2343.847074711972,T007,5.000100000000202,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T007,2348.847174711972,4956.888071820894,T022,14.986586106565483,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T022,4971.874657927459,6663.409144166409,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T011,9.094947017729282e-13,2130.6390887595835,T014,53.149723527888,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T014,2183.7888122874715,4664.738227227988,T023,767.4063073147508,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T023,5432.144534542739,7067.902639211204,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,5.0000999999997475,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1849.5389901555673,3807.580261642562,T021,5.000100000000657,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3812.580361642563,5710.621633129557,,,U05,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T003,0.0,1429.4261775174655,T001,5.000099999999975,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,1434.4262775174655,2995.852455034931,T012,5.0000999999997475,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T012,3000.852555034931,5115.934196313385,T019,5.000099999999293,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,5120.934296313384,7706.723573749196,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T015,0.0,1667.9002043425255,T010,5.0000999999997475,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T010,1672.9003043425253,4143.498187252806,T018,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,4148.498287252806,6584.307808110455,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T014,5.000100000000202,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T014,2183.7888122874715,6072.654142140365,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T009,0.0,2207.8690163260853,T007,140.97815838588667,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T007,2348.847174711972,6410.151534904485,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T017,0.0,3707.4110579615462,T020,228.7814351645129,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T020,3936.192493126059,7146.402990789954,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T011,9.094947017729282e-13,3488.424083728016,T016,115.50695242106121,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T016,3603.931036149077,6435.665452973743,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T004,1317.470977312685,4966.874557927459,T022,5.000100000000202,A05,existing
P3,G1,A_batteries,G1-A_batteries-05,T022,4971.874657927459,7838.903650845864,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T002,1333.0642024412111,5427.144434542739,T023,5.000100000000202,A06,existing
P3,G1,A_batteries,G1-A_batteries-06,T023,5432.144534542739,8172.841259887003,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T021,379.3795084076137,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T021,3812.580361642563,7577.8037850471665,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T013,1849.5389901555673,5766.825889128153,,,B02,existing
P3,G1,C_batteries,G1-C_batteries-01,T003,0.0,2947.606630665684,T012,53.24592436924695,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T012,3000.852555034931,7608.599913765052,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T015,0.0,3374.9612139713486,T018,773.5370732814577,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T018,4148.498287252806,9082.66208808497,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T001,1434.4262775174655,4584.519131280417,T019,536.4151650329668,C03,existing
P3,G1,C_batteries,G1-C_batteries-03,T019,5120.934296313384,10263.500845858129,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1672.9003043425253,6259.532028778252,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R003,22.042066708784635,2472.2014213486705,R001,5.000100121949799,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2477.2015214706203,7968.231935169719,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,889.4907374435007,8028.469049694268,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R003,22.042066708784635,2901.389611387798,,,RE01,existing
