box,zone,time,hard_deadline,desired,priority
S001-FOD-01,S001,1248.8980887587327,,7200,10
S001-FOD-02,S001,1248.8980887587327,,7200,10
S001-FOD-03,S001,1248.8980887587327,,7200,10
S001-HYG-01,S001,1248.8980887587327,,10800,8
S001-HYG-02,S001,1116.8980887587327,,10800,8
S001-MED-01,S001,969.3587719896758,3600,3600,24
S001-MED-02,S001,969.3587719896758,3600,3600,24
S001-WAT-01,S001,969.3587719896758,3600,3600,12
S001-WAT-02,S001,1116.8980887587327,,3600,12
S001-WAT-03,S001,1116.8980887587327,,3600,12
S001-WAT-04,S001,1116.8980887587327,,3600,12
S001-WAT-05,S001,1116.8980887587327,,3600,12
S001-WAT-06,S001,1248.8980887587327,,3600,12
S001-WAT-07,S001,1248.8980887587327,,3600,12
S001-WAT-08,S001,1248.8980887587327,,3600,12
S002-FOD-01,S002,3445.0624608744824,,7200,10
S002-FOD-02,S002,3445.0624608744824,,7200,10
S002-HYG-01,S002,3445.0624608744824,,10800,8
S002-MED-01,S002,3561.9859873961504,3600,3600,24
S002-WAT-01,S002,3561.9859873961504,3600,3600,12
S002-WAT-02,S002,3445.0624608744824,,3600,12
S002-WAT-03,S002,3445.0624608744824,,3600,12
S002-WAT-04,S002,3445.0624608744824,,3600,12
S003-FOD-01,S003,6217.4207705357085,,10800,8
S003-FOD-02,S003,6217.4207705357085,,10800,8
S003-HYG-01,S003,6217.4207705357085,,14400,6
S003-MED-01,S003,5341.2410812948165,7200,7200,20
S003-WAT-01,S003,5341.2410812948165,7200,7200,10
S003-WAT-02,S003,6217.4207705357085,,7200,10
S003-WAT-03,S003,6217.4207705357085,,7200,10
S003-WAT-04,S003,6217.4207705357085,,7200,10
S004-FOD-01,S004,4538.168763149604,,10800,8
S004-HYG-01,S004,4538.168763149604,,14400,6
S004-MED-01,S004,4538.168763149604,7200,7200,20
S004-WAT-01,S004,4538.168763149604,7200,7200,10
S004-WAT-02,S004,4538.168763149604,,7200,10
S004-WAT-03,S004,4538.168763149604,,7200,10
S005-FOD-01,S005,5421.207418072547,,14400,6
S005-HYG-01,S005,6429.494336129534,,18000,4
S005-MED-01,S005,5134.76497054826,10800,10800,16
S005-WAT-01,S005,5134.76497054826,10800,10800,8
S005-WAT-02,S005,5421.207418072547,,10800,8
S005-WAT-03,S005,6429.494336129534,,10800,8
S006-FOD-01,S006,936.7704405418276,,7200,10
S006-HYG-01,S006,2513.588818956461,,10800,8
S006-MED-01,S006,2513.588818956461,3600,3600,24
S006-WAT-01,S006,936.7704405418276,3600,3600,12
S006-WAT-02,S006,2513.588818956461,,3600,12
S006-WAT-03,S006,2513.588818956461,,3600,12
S007-FOD-01,S007,1133.8608178597733,,7200,10
S007-HYG-01,S007,5574.806856669169,,10800,8
S007-MED-01,S007,1133.8608178597733,3600,3600,24
S007-WAT-01,S007,1133.8608178597733,3600,3600,12
S007-WAT-02,S007,1133.8608178597733,,3600,12
S008-FOD-01,S008,4354.7882540980245,,10800,8
S008-HYG-01,S008,6257.82962558502,,14400,6
S008-MED-01,S008,4354.7882540980245,7200,7200,20
S008-WAT-01,S008,4354.7882540980245,7200,7200,10
S008-WAT-02,S008,6257.82962558502,,7200,10
S009-FOD-01,S009,6354.128415999873,,14400,6
S009-MED-01,S009,3131.4688833547307,10800,10800,16
S009-WAT-01,S009,6354.128415999873,10800,10800,8
S010-FOD-01,S010,2590.7918387906866,,7200,10
S010-MED-01,S010,2590.7918387906866,3600,3600,24
S010-WAT-01,S010,2590.7918387906866,3600,3600,12
S011-FOD-01,S011,4720.133231301998,,14400,6
S011-MED-01,S011,4720.133231301998,10800,10800,16
S011-WAT-01,S011,4720.133231301998,10800,10800,8
S012-FOD-01,S012,1281.9422220109946,,7200,10
S012-MED-01,S012,1281.9422220109946,3600,7200,22
S012-WAT-01,S012,1281.9422220109946,3600,3600,12
S013-FOD-01,S013,1058.018029613423,,7200,10
S013-MED-01,S013,1058.018029613423,3600,3600,24
S013-WAT-01,S013,1058.018029613423,3600,3600,12
S014-FOD-01,S014,3178.8506557664396,,7200,10
S014-MED-01,S014,3178.8506557664396,3600,7200,22
S014-WAT-01,S014,3178.8506557664396,3600,3600,12
S015-FOD-01,S015,5180.6741750357705,,14400,6
S015-MED-01,S015,5798.505225167873,7200,7200,18
S015-WAT-01,S015,5180.6741750357705,10800,10800,8
