sortie,phase_index,start,end,mode,relay_sortie,margin_lower_db,status
T001,0,510.0,568.1426440429688,direct,,28.982830377148545,PASS
T001,1,568.1426440429688,709.9998999999993,direct,,4.371734514325031,PASS
T001,1,709.9998999999993,710.0,direct,,4.371728412526112,PASS
T001,1,710.0,767.9999000000004,direct,,1.4018265236776806,PASS
T001,1,767.9999000000004,768.0,direct,,1.401822185216897,PASS
T001,1,768.0,772.3697837050219,direct,,1.2142767659980365,PASS
T001,2,772.3697837050219,816.8980887587328,direct,,1.2142767659980365,PASS
T001,3,816.8980887587328,1248.8980887587327,direct,,1.2209329737202967,PASS
T001,4,1248.8980887587327,1280.0,direct,,1.2155269980647567,PASS
T001,4,1280.0,1280.0000999999993,direct,,1.2155269717109434,PASS
T001,4,1280.0000999999993,1284.5207328017013,direct,,1.2142767659980365,PASS
T001,5,1284.5207328017013,1488.7478724637544,direct,,1.2142767659980365,PASS
T001,6,1488.7478724637544,1561.4261775174655,direct,,28.982830377148545,PASS
T002_2,0,390.0,478.3506103515625,direct,,23.16061612661366,PASS
T002_2,1,478.3506103515625,709.9998999999993,direct,,0.10525445194172178,PASS
T002_2,1,709.9998999999993,710.0,direct,,0.105250720911652,PASS
T002_2,1,710.0,767.9999000000004,relay,R004,2.710217075986666,PASS
T002_2,1,767.9999000000004,768.0,relay,R004,2.710217075986666,PASS
T002_2,1,768.0,801.597297191548,relay,R004,2.710217075986666,PASS
T002_2,2,801.597297191548,818.018029613423,relay,R004,2.710217075986666,PASS
T002_2,3,818.0180296134231,1058.018029613423,relay,R004,2.710217075986666,PASS
T002_2,4,1058.018029613423,1071.701973298319,relay,R004,2.710217075986666,PASS
T002_2,5,1071.701973298319,1280.0,relay,R004,2.710217075986666,PASS
T002_2,5,1280.0,1280.0000999999993,direct,,6.126502021077311,PASS
T002_2,5,1280.0000999999993,1394.9486601383046,direct,,6.126509427816991,PASS
T002_2,6,1394.9486601383046,1500.9693925601796,direct,,23.16061612661366,PASS
T003,0,450.0,508.14264404296875,direct,,28.982830377148545,PASS
T003,1,508.14264404296875,709.9998999999993,direct,,1.3154870939197671,PASS
T003,1,709.9998999999993,710.0,direct,,1.3154827982965678,PASS
T003,1,710.0,712.3697837050219,direct,,1.2142767659980365,PASS
T003,2,712.3697837050219,756.8980887587328,direct,,1.2142767659980365,PASS
T003,3,756.8980887587328,767.9999000000004,direct,,1.2209329737202967,PASS
T003,3,767.9999000000004,768.0,direct,,1.2209329737202967,PASS
T003,3,768.0,1116.8980887587327,direct,,1.2209329737202967,PASS
T003,4,1116.8980887587327,1152.5207328017013,direct,,1.2142767659980365,PASS
T003,5,1152.5207328017013,1280.0,direct,,1.2142767659980365,PASS
T003,5,1280.0,1280.0000999999993,direct,,9.671294597721918,PASS
T003,5,1280.0000999999993,1356.7478724637544,direct,,9.671305782549485,PASS
