id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P12345_6,2,28,2,0.9575866964378708,False,True,4,0,3,1,2,0,5,0,5,1,4,0,2,0,3,0
P12346_5,2,33,7,0.622611490830057,False,True,4,0,4,2,2,0,5,0,8,4,4,0,3,1,3,0
P1234_56,2,32,6,0.5801981872679277,False,True,4,0,4,2,2,0,5,0,7,3,4,0,3,1,3,0
P1234_5_6,3,34,8,0.9904218619674435,False,True,4,0,5,3,2,0,5,0,8,4,4,0,3,1,3,0
P12356_4,2,30,3,0.9019894972821313,False,True,5,1,2,0,3,1,6,0,4,0,5,1,2,0,3,0
P1235_46,2,32,5,0.8595761937200018,False,True,5,1,3,1,3,1,6,0,5,1,5,1,2,0,3,0
P1235_4_6,3,32,5,1.2657296020118889,False,True,5,1,3,1,3,1,6,0,5,1,5,1,2,0,3,0
P1236_45,2,37,10,0.5246009881121881,False,True,5,1,4,2,3,1,6,0,8,4,5,1,3,1,3,0
P1236_4_5,3,37,10,0.925919671913761,False,True,5,1,4,2,3,1,6,0,8,4,5,1,3,1,3,0
P123_456,2,36,9,0.4821876845500588,False,True,5,1,4,2,3,1,6,0,7,3,5,1,3,1,3,0
P123_45_6,3,38,11,0.904716851170088,False,True,5,1,5,3,3,1,6,0,8,4,5,1,3,1,3,0
P123_46_5,3,38,11,0.8770780742565935,False,True,5,1,5,3,3,1,6,0,8,4,5,1,3,1,3,0
P123_4_56,3,36,9,0.8871527290359907,False,True,5,1,4,2,3,1,6,0,7,3,5,1,3,1,3,0
P12456_3,2,35,8,0.28752984849023727,False,True,6,2,3,1,3,1,7,1,5,1,5,1,3,1,3,0
P1245_36,2,36,9,0.2451165449281079,False,True,6,2,3,1,3,1,7,1,6,2,5,1,3,1,3,0
P1245_3_6,3,37,10,0.738102880141942,False,True,6,2,4,2,3,1,7,1,6,2,5,1,3,1,3,0
P1246_35,2,38,11,0.08985866067970592,False,True,6,2,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P1246_3_5,3,40,13,0.329840561315913,False,True,6,2,5,3,3,1,7,1,8,4,5,1,3,1,3,0
P124_356,2,36,9,0.1322719642418352,False,True,6,2,3,1,3,1,7,1,6,2,5,1,3,1,3,0
P124_35_6,3,38,11,0.6759489991587782,False,True,6,2,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P124_36_5,3,39,12,0.3145112020685979,False,True,6,2,4,2,3,1,7,1,8,4,5,1,3,1,3,0
P124_3_56,3,38,11,0.27856671930553906,False,True,6,2,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P1256_34,2,32,5,0.18951934577236842,False,True,5,1,3,1,3,1,6,0,5,1,4,0,3,1,3,0
P1256_3_4,3,36,9,0.6701731396076375,False,True,6,2,3,1,4,2,7,1,5,1,5,1,3,1,3,0
P125_346,2,33,6,0.14710604221023918,False,True,5,1,3,1,3,1,6,0,6,2,4,0,3,1,3,0
P125_34_6,3,34,7,0.6934677630962065,False,True,5,1,4,2,3,1,6,0,6,2,4,0,3,1,3,0
P125_36_4,3,37,10,0.6492153118146893,False,True,6,2,3,1,4,2,7,1,6,2,5,1,3,1,3,0
P125_3_46,3,38,11,0.6183757964848796,False,True,6,2,4,2,4,2,7,1,6,2,5,1,3,1,3,0
P126_345,2,35,8,0.1878691633975747,False,True,5,1,4,2,3,1,6,0,7,3,4,0,3,1,3,0
P126_34_5,3,37,10,0.3068274842944939,False,True,5,1,5,3,3,1,6,0,8,4,4,0,3,1,3,0
P126_35_4,3,39,12,0.6266704405001047,False,True,6,2,4,2,4,2,7,1,7,3,5,1,3,1,3,0
P126_3_45,3,41,14,0.21185094947298594,False,True,6,2,5,3,4,2,7,1,8,4,5,1,3,1,3,0
P12_3456,2,33,6,0.23028246695970395,False,True,5,1,3,1,3,1,6,0,6,2,4,0,3,1,3,0
P12_345_6,3,35,8,0.7099104441791654,False,True,5,1,4,2,3,1,6,0,7,3,4,0,3,1,3,0
P12_346_5,3,36,9,0.31102484316863727,False,True,5,1,4,2,3,1,6,0,8,4,4,0,3,1,3,0
P12_34_56,3,35,8,0.26302690003118917,False,True,5,1,4,2,3,1,6,0,7,3,4,0,3,1,3,0
P12_356_4,3,37,10,0.6427154932320632,False,True,6,2,3,1,4,2,7,1,6,2,5,1,3,1,3,0
P12_35_46,3,39,12,0.5915926552314295,False,True,6,2,4,2,4,2,7,1,7,3,5,1,3,1,3,0
P12_36_45,3,40,13,0.20307326002238288,False,True,6,2,4,2,4,2,7,1,8,4,5,1,3,1,3,0
P12_3_456,3,39,12,0.16172907475222167,False,True,6,2,4,2,4,2,7,1,7,3,5,1,3,1,3,0
P13456_2,2,35,9,0.38370673395080135,False,True,5,1,3,1,4,2,5,0,6,2,6,2,3,1,3,0
P1345_26,2,37,11,0.341293430388672,False,True,5,1,4,2,4,2,5,0,7,3,6,2,3,1,3,0
P1345_2_6,3,37,11,0.7971908544227913,False,True,5,1,4,2,4,2,5,0,7,3,6,2,3,1,3,0
P1346_25,2,35,9,0.006318224780858273,False,True,5,1,3,1,4,2,5,0,6,2,6,2,3,1,3,0
P1346_2_5,3,38,12,0.38882757697712106,False,True,5,1,4,2,4,2,5,0,8,4,6,2,3,1,3,0
P134_256,2,34,8,0.03609507878127102,False,True,5,1,3,1,4,2,5,0,5,1,6,2,3,1,3,0
P134_25_6,3,36,10,0.6623717173185701,False,True,5,1,4,2,4,2,5,0,6,2,6,2,3,1,3,0
P134_26_5,3,39,13,0.3592657047913698,False,True,5,1,5,3,4,2,5,0,8,4,6,2,3,1,3,0
P134_2_56,3,37,11,0.33745034697760334,False,True,5,1,4,2,4,2,5,0,7,3,6,2,3,1,3,0
P1356_24,2,35,8,0.28569623123293264,False,True,5,1,3,1,4,2,6,0,6,2,5,1,3,1,3,0
P1356_2_4,3,38,11,0.7292658538354674,False,True,6,2,3,1,5,3,6,0,6,2,6,2,3,1,3,0
P135_246,2,37,10,0.24328292767080328,False,True,5,1,4,2,4,2,6,0,7,3,5,1,3,1,3,0
P135_24_6,3,37,10,0.7371132209326325,False,True,5,1,4,2,4,2,6,0,7,3,5,1,3,1,3,0
P135_26_4,3,40,13,0.701384082580552,False,True,6,2,4,2,5,3,6,0,7,3,6,2,3,1,3,0
P135_2_46,3,40,13,0.6774706672905301,False,True,6,2,4,2,5,3,6,0,7,3,6,2,3,1,3,0
P136_245,2,35,8,0.09169227793701058,False,True,5,1,3,1,4,2,6,0,6,2,5,1,3,1,3,0
P136_24_5,3,38,11,0.32902303743917993,False,True,5,1,4,2,4,2,6,0,8,4,5,1,3,1,3,0
P136_25_4,3,38,11,0.6054125331158073,False,True,6,2,3,1,5,3,6,0,6,2,6,2,3,1,3,0
P136_2_45,3,41,14,0.27043186975755074,False,True,6,2,4,2,5,3,6,0,8,4,6,2,3,1,3,0
P13_2456,2,34,7,0.13410558149913976,False,True,5,1,3,1,4,2,6,0,5,1,5,1,3,1,3,0
P13_245_6,3,36,9,0.6764044991814967,False,True,5,1,4,2,4,2,6,0,6,2,5,1,3,1,3,0
