partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P12345_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,77,733.0,23,4,54907.40464547586,69.5087942339609,4,0.4258841849088792,2,0.6383438064746683,2,0.6850199957629697,5,0.5535722845923309,4,0.6236152833745249,4,0.7072587032528875,2,0.7559747816759824,3,0.5838441236252336
P12345_6,G2,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12346_5,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S015,68,658.0,20,3,45511.84674044008,61.005101420079555,4,0.4258841849088792,2,0.3429484378958731,2,0.6850199957629697,5,0.5535722845923309,4,0.3392866981429194,4,0.7072587032528875,2,0.5448645049602914,2,0.6319656948962591
P12346_5,G2,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
P1234_56,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,19,3,44322.21645470364,59.92793016554983,4,0.4258841849088792,2,0.28080096155252227,2,0.6850199957629697,5,0.5535722845923309,3,0.3714758896870427,4,0.7072587032528875,2,0.5448645049602914,2,0.6319656948962591
P1234_56,G2,S010|S011|S012|S013|S014,15,125.0,5,1,11774.818476508652,10.658035322940792,0,0.0,2,0.6546177591935244,0,0.0,0,0.0,4,0.6327776750036705,0,0.0,1,0.6585643236643866,1,0.7605423462108283
P1234_5_6,G1,S001|S002|S003|S004|S005|S006|S007|S008|S009|S015,65,633.0,19,3,44322.21645470364,59.92793016554983,4,0.4258841849088792,2,0.28080096155252227,2,0.6850199957629697,5,0.5535722845923309,3,0.3714758896870427,4,0.7072587032528875,2,0.5448645049602914,2,0.6319656948962591
P1234_5_6,G2,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
P1234_5_6,G3,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P12356_4,G1,S001|S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,74,699.0,22,4,53347.98563391731,66.9608439993033,4,0.39150923529696546,2,0.7004912828180191,2,0.6101568092922086,5,0.5074357700444011,4,0.6842950642521621,4,0.6320105499678697,2,0.7559747816759824,3,0.5838441236252336
