box_id,sortie,zone,time
S006-FOD-01,T002,S006,943.7532919679674
S006-MED-01,T002,S006,943.7532919679674
S006-WAT-01,T002,S006,943.7532919679674
S013-MED-01,T003,S013,1078.8297013234196
S013-WAT-01,T003,S013,1078.8297013234196
S012-MED-01,T006,S012,1345.2495443797914
S012-WAT-01,T006,S012,1345.2495443797914
S001-MED-01,T007,S001,969.3587719896758
S001-MED-02,T007,S001,969.3587719896758
S001-WAT-01,T007,S001,969.3587719896758
S010-FOD-01,T008,S010,1084.8223462305075
S010-MED-01,T008,S010,1084.8223462305075
S010-WAT-01,T008,S010,1084.8223462305075
S014-FOD-01,T011,S014,2784.397470872132
S014-MED-01,T011,S014,2784.397470872132
S014-WAT-01,T011,S014,2784.397470872132
S009-MED-01,T005,S009,2729.949979099647
S002-MED-01,T005,S002,3160.4670831410663
S002-WAT-01,T005,S002,3160.4670831410663
S007-MED-01,T010,S007,3312.6495301472446
S007-WAT-01,T010,S007,3312.6495301472446
S005-MED-01,T014,S005,5256.555485505582
S005-WAT-01,T014,S005,5256.555485505582
S004-MED-01,T014,S004,5766.536147625375
S003-MED-01,T009,S003,5535.031596252139
S003-WAT-01,T009,S003,5535.031596252139
S015-MED-01,T009,S015,5992.295740125195
S008-FOD-01,T015,S008,5385.167068914847
S008-MED-01,T015,S008,5385.167068914847
S008-WAT-01,T015,S008,5385.167068914847
S004-FOD-01,T023,S004,5615.481798988603
S004-HYG-01,T023,S004,5615.481798988603
S004-WAT-01,T023,S004,5615.481798988603
S004-WAT-02,T023,S004,5615.481798988603
S004-WAT-03,T023,S004,5615.481798988603
S011-FOD-01,T024,S011,7832.919973038583
S011-MED-01,T024,S011,7832.919973038583
S011-WAT-01,T024,S011,7832.919973038583
S015-FOD-01,T020,S015,9243.330019845986
S015-WAT-01,T020,S015,9243.330019845986
S009-FOD-01,T022,S009,8053.275406623171
S009-WAT-01,T022,S009,8053.275406623171
S001-FOD-01,T001,S001,1182.8980887587327
S001-FOD-02,T001,S001,1182.8980887587327
S001-FOD-03,T001,S001,1182.8980887587327
S001-WAT-06,T001,S001,1182.8980887587327
S001-WAT-07,T001,S001,1182.8980887587327
S001-WAT-08,T001,S001,1182.8980887587327
S001-HYG-01,T004,S001,1182.8980887587327
S001-HYG-02,T004,S001,1182.8980887587327
S001-WAT-02,T004,S001,1182.8980887587327
S001-WAT-03,T004,S001,1182.8980887587327
S001-WAT-04,T004,S001,1182.8980887587327
S001-WAT-05,T004,S001,1182.8980887587327
S005-FOD-01,T019,S005,11389.235194254401
S005-WAT-02,T019,S005,11389.235194254401
S006-HYG-01,T012,S006,12857.188194209964
S006-WAT-02,T012,S006,12857.188194209964
S006-WAT-03,T012,S006,12857.188194209964
S007-FOD-01,T012,S007,13541.971332605995
S007-HYG-01,T012,S007,13541.971332605995
S007-WAT-02,T012,S007,13541.971332605995
S002-FOD-01,T013,S002,13244.976473410195
S002-FOD-02,T013,S002,13244.976473410195
S002-HYG-01,T013,S002,13244.976473410195
S002-WAT-02,T013,S002,13244.976473410195
S002-WAT-03,T013,S002,13244.976473410195
S002-WAT-04,T013,S002,13244.976473410195
S008-HYG-01,T021,S008,11487.846777663666
S008-WAT-02,T021,S008,11487.846777663666
S013-FOD-01,T016,S013,11307.429176576923
S012-FOD-01,T016,S012,11817.057005585682
S003-FOD-01,T018,S003,15514.472054478245
S003-FOD-02,T018,S003,15514.472054478245
S003-HYG-01,T018,S003,15514.472054478245
S003-WAT-02,T018,S003,15514.472054478245
S003-WAT-03,T018,S003,15514.472054478245
S003-WAT-04,T018,S003,15514.472054478245
S005-HYG-01,T017,S005,13198.909585613092
S005-WAT-03,T017,S005,13198.909585613092
