kind,task,resource,energy_component,start,service_start,service_end,return_time,resource_ready,component_ready,energy_kwh
transport,T002,U05,B04,0.0,0.0,1269.979917269268,1269.979917269268,1269.979917269268,2466.9920012244406,1.223874039896552
transport,T003,U04,A06,0.0,0.0,1602.5927359801724,1602.5927359801724,1602.5927359801724,2667.0598976968568,1.953924790557753
transport,T006,U03,A04,0.0,0.0,2130.6390887595826,2130.6390887595826,2130.6390887595826,3488.424083728015,2.9692557518138036
transport,T007,U01,A03,0.0,0.0,1312.470877312685,1312.470877312685,1312.470877312685,2178.7887122874713,1.2680232749127218
transport,T008,U06,B03,0.0,0.0,1554.5713591276817,1554.5713591276817,1554.5713591276817,3010.3575010505742,1.8210449428989826
transport,T011,U06,B02,1554.5713591276817,1554.5713591276817,3399.1102492832492,3399.1102492832492,3399.1102492832492,4987.772212362631,2.127681453260112
transport,T005,U04,A05,1602.5927359801724,1602.5927359801724,3884.0526948165643,3884.0526948165643,3884.0526948165643,5251.996316594947,3.0044202292328617
transport,T010,U03,A03,2178.7887122874713,2178.7887122874713,3891.2303480070177,3891.2303480070177,3891.2303480070177,4939.851049646319,1.8990716595206591
transport,T014,U02,A02,4095.919766504683,4095.919766504683,6576.8691814452,6576.8691814452,6576.8691814452,7984.785096357577,3.142785859312073
transport,T009,U01,A06,4095.919766504683,4095.919766504683,6703.960663613605,6703.960663613605,6703.960663613605,8157.224126697196,3.299758141443201
transport,T015,U06,B03,4095.919766504683,4095.919766504683,6053.961037991678,6053.961037991678,6053.961037991678,8013.206665477268,2.982874524966748
transport,T023,U08,C01,4095.919766504683,4095.919766504683,6335.103831472525,6335.103831472525,6335.103831472525,8803.781612892573,6.038194885243257
transport,T024,U05,B01,6925.918163503697,6925.918163503697,8115.548449240136,8115.548449240136,8115.548449240136,9248.989326203016,1.077171254529726
transport,T020,U03,A02,7984.785096357577,7984.785096357577,9954.994943334395,9954.994943334395,9954.994943334395,11194.995594021471,2.5615407139167994
transport,T022,U04,A01,6925.918163503697,6925.918163503697,8617.452649742645,8617.452649742645,8617.452649742645,9792.9471564221,2.3382502154288844
transport,T001,U07,C02,0.0,0.0,1495.4261775174655,1495.4261775174655,1495.4261775174655,3038.637095537719,2.6210864665363207
transport,T004,U08,C01,0.0,0.0,1495.4261775174655,1495.4261775174655,1495.4261775174655,3052.6165531873976,2.6727029255505155
transport,T019,U01,A01,10258.599475253503,10258.599475253503,11954.357579921967,11954.357579921967,11954.357579921967,13090.333892078168,2.2014564651560833
transport,T012,U08,C04,11754.025652770968,11754.025652770968,14092.623535681249,14092.623535681249,14092.623535681249,16029.767437454444,4.0756082527010316
transport,T013,U07,C03,11754.025652770968,11754.025652770968,13869.107294049421,13869.107294049421,13869.107294049421,16361.773011501089,6.126765725975389
transport,T021,U05,B04,10258.599475253503,10258.599475253503,12156.640746740497,12156.640746740497,12156.640746740497,14023.822898658107,2.7704203505790983
transport,T016,U02,A04,10258.599475253503,10258.599475253503,12602.446549965474,12602.446549965474,12602.446549965474,13966.010533215049,2.9892599420177586
transport,T018,U07,C02,13869.107294049421,13869.107294049421,16304.91681490707,16304.91681490707,16304.91681490707,18803.271094881584,6.1477696491366665
transport,T017,U05,B01,12156.640746740497,12156.640746740497,13675.665091152352,13675.665091152352,13675.665091152352,15140.347175090843,1.8415740398580562
relay,R001,R01,RE01,2.609343658682974,731.5671769498988,3039.609065969618,3603.810387318288,3903.810387318288,4513.1192036853845,1.0075293941343906
relay,R002,R02,RE02,1890.43245902588,2405.4360706431835,3500.842619691706,3840.044986954762,4140.044986954762,4547.106579426688,0.5096900737770487
relay,R003,R01,RE03,4117.678959539658,4836.188122096159,5984.550281019296,6528.084934400178,6828.084934400178,7294.25432071661,0.6551861817019862
relay,R004,R02,RE04,4258.325541125568,4836.188122096159,6212.825876329996,6632.12341518633,6932.12341518633,7384.462242481364,0.6211417287262371
relay,R005,R01,RE05,7152.999318107374,7579.53915465165,9463.860156050787,9711.760618561453,10011.760618561453,10494.770367086176,0.6966393809839325
relay,R006,R02,RE06,10199.600645754012,10968.867830844978,13529.505979799143,14121.835231031877,14421.835231031877,15077.164852894548,1.1208113768927297
relay,R007,R01,RE01,11031.778553494738,11574.366458710683,11866.15379310196,12243.206922011752,12543.206922011752,12780.76028017898,0.2730429755770043
relay,R008,R01,RE02,12553.893510035483,13050.345477519308,13678.867216474175,14003.044938759433,14303.044938759433,14646.11913708537,0.3521826420330757
relay,R009,R01,RE03,14311.089600804224,14764.784467354653,15845.829227783477,16126.098832899987,16426.09883289999,16814.645215668515,0.4641141729686832
