candidate,sha256,component_count,weighted_soft_delay,makespan_seconds,weighted_delivery_seconds,energy_kwh,total_sorties,two_group_best_partition,two_group_shortage,three_group_best_partition,three_group_shortage,q4_replay_status
alns_002_merge,E7FC3E3C6A32BF4C4B375B598B2B31E45CB8D37848E0A90AD2145E3193080BBC,3,65481.544772559035,9868.053128909793,3122949.268412115,72.80140744584085,29,P3,2,P4,5,PASS
balanced_24_2026,BADF737E0F99E788E90CB55DD83289F48B637D8293CB73226B18E4E14882056B,3,0,6341.040897108922,2808950.5076264874,71.96115327439269,29,P3,2,P4,8,PASS
balanced_24_2027,00D8830C354BB5DC0626471A5F5ABA59F99EB1A484B3763DA067D753B0CC8D87,3,0,6341.040897108922,2817738.5076264874,71.98529216328157,29,P3,2,P4,8,PASS
baseline_recertified,C65E8DF088167C6A5BBE04251F29127305BB22E7F48693A7F0EAB570B8236E90,3,1416548.6911612228,16304.91681490707,5438318.76751968,74.85485348124014,33,P3,1,P4,4,PASS
baseline_routes_2026,846880464E380F2E0BFC9FAAF8D1A3750C7CCD2149780293A7F7103187560BB0,3,0,6658.7581046684645,2659718.5076264874,72.5153176176905,27,P3,2,P4,8,PASS
baseline_routes_2027,48FE4A9F802D132604965B7207F703ABCD6D02628D66D1C3C8A32FC091E388A9,3,0,6350.534653380882,2821260.5076264874,71.84772693615166,29,P3,2,P4,8,PASS
delivery_23_2026,DF5DBF182CEA219A3EB173D86CE411ACD339AD7B9ED93BB1B4D0F5BC23F0F181,3,0,6390.534653380882,2634274.0032893578,72.79802580771732,26,P3,2,P4,8,PASS
fastest_25_2026,6BA62273729D4EA844D3535BC6840D0CB22D839C85D48F17D891699818B00B58,3,0,7145.470877312685,2846434.193092335,73.12357501432774,29,P3,2,P4,8,PASS
fastest_25_2027,61475CC6FAFC28904B0824E62B3D06E7C2414A3AAB1845B5DBA60780E6AEB0E6,3,0,6658.7581046684645,2710734.193092335,73.52969393674115,28,P3,2,P4,8,PASS
q4_compatible,CC3C685B6F4A00607F188C310C95D54FA2E83FA4CED85F8535A7E6E6E47AACFA,3,0,7880.847074711972,2688138.5076264874,72.83838994571158,29,P3,1,P4,7,PASS
warm_start,ADEBD5DE1261A4C4781CA35AE74B2B1EEB5151749526FA348C85F4DD5D8D46DD,3,0,6659.7581046684645,2709476.5076264874,72.1630352839318,28,P3,2,P4,8,PASS
