partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,64.58343285228898,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1377.054310164974,3975.1825008498217,T020,5.000100000000657,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T020,3980.1826008498224,5950.392447826642,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,53.063589399543616,2183.702678159126,T014,5.000100000000657,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T014,2188.702778159127,4669.652193099644,T016,5.000099999999293,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T016,4674.652293099643,6370.410397768108,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,63.06358939954316,2406.910664111515,T007,5.143646053458724,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T007,2412.0543101649737,5020.0952072738955,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,727.0635893995443,3008.523548235936,T022,537.9642248916225,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,3546.4877731275583,5238.022259366508,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,31.063589399544526,1875.602479555112,T013,1593.6620630793818,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,3469.264542634494,5427.305814121488,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,75.06358939954453,1629.6349485272262,T009,5.0000999999997475,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1634.635048527226,2904.6149657964943,T021,185.8062246536233,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,3090.4211904501176,4988.462461937112,T023,5.000099999999293,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,4993.462561937111,6512.486906348966,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,184.62813264750844,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1746.054310164974,4150.652193075254,T018,5.000100000000202,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T018,4155.652293075254,6591.461813932903,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T019,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T019,3554.5080187959184,5793.69208376376,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T014,9.914065871655566,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T014,2188.702778159127,6077.56810801202,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T011,53.063589399543616,3541.4876731275585,T022,5.0000999999997475,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T022,3546.4877731275583,6413.516766045963,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T017,63.06358939954316,3770.4746473610894,T020,209.70795348873298,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T020,3980.1826008498224,7190.393098513718,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T004,727.0635893995443,4376.467170014318,T016,298.18512308532536,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T016,4674.652293099643,7506.38670992431,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1377.054310164974,5471.134542266502,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T007,2412.0543101649737,6473.3586703574865,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,31.063589399544526,3464.2644426344937,T013,5.000100000000202,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T013,3469.264542634494,7386.551441607078,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,75.06358939954453,3085.4210904501188,T021,5.000099999998838,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T021,3090.4211904501176,6855.644613854722,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T009,1634.635048527226,4101.627049751667,T023,891.8355121854438,B03,existing
P3,G1,B_batteries,G1-B_batteries-03,T023,4993.462561937111,7977.168990287457,,,B03,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T018,1005.5594393123029,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T018,4155.652293075254,9089.816093907417,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T019,606.9013881302344,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T019,3554.5080187959184,8262.36986518381,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1746.054310164974,6232.527104775175,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R003,187.24595495323547,2378.305515838041,R001,115.88611335634141,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2494.1916291943826,6844.949931955979,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,895.2496880206211,6127.414049945758,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R003,187.24595495323547,2774.416177426897,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R002,895.2496880206211,6908.643697377241,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2494.1916291943826,7505.4531180220365,,,RE03,existing
P3,G2,B_aircraft,G2-B_aircraft-01,T006,1880.6025795551122,3070.232865291551,,,NEW-B_aircraft-01,procurement_required
P3,G2,B_batteries,G2-B_batteries-01,T006,1880.6025795551122,4203.673742254432,,,B04,existing
P2,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P2,G1,B_aircraft,G1-B_aircraft-01,T006,1880.6025795551122,3070.232865291551,,,U05,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P2,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P2,G1,B_batteries,G1-B_batteries-01,T006,1880.6025795551122,4203.673742254432,,,B01,existing
P2,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T011,53.063589399543616,2183.702678159126,T014,5.000100000000657,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T014,2188.702778159127,4669.652193099644,T016,5.000099999999293,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T016,4674.652293099643,6370.410397768108,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T017,63.06358939954316,2406.910664111515,T007,5.143646053458724,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T007,2412.0543101649737,5020.0952072738955,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T004,727.0635893995443,3008.523548235936,T022,537.9642248916225,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T022,3546.4877731275583,5238.022259366508,,,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-04,T002,1377.054310164974,3975.1825008498217,T020,5.000100000000657,NEW-A_aircraft-01,procurement_required
P2,G2,A_aircraft,G2-A_aircraft-04,T020,3980.1826008498224,5950.392447826642,,,NEW-A_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-01,T008,31.063589399544526,1875.602479555112,T013,1593.6620630793818,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T013,3469.264542634494,5427.305814121488,,,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T015,75.06358939954453,1629.6349485272262,T009,5.0000999999997475,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T009,1634.635048527226,2904.6149657964943,T021,185.8062246536233,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T021,3090.4211904501176,4988.462461937112,T023,5.000099999999293,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T023,4993.462561937111,6512.486906348966,,,NEW-B_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T012,1434.4262775174655,3549.507918795918,T019,5.000100000000202,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T019,3554.5080187959184,5793.69208376376,,,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T010,1746.054310164974,4150.652193075254,T018,5.000100000000202,NEW-C_aircraft-02,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T018,4155.652293075254,6591.461813932903,,,NEW-C_aircraft-02,procurement_required
P2,G2,A_batteries,G2-A_batteries-01,T011,53.063589399543616,3541.4876731275585,T022,5.0000999999997475,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T022,3546.4877731275583,6413.516766045963,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T017,63.06358939954316,3770.4746473610894,T020,209.70795348873298,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T020,3980.1826008498224,7190.393098513718,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T004,727.0635893995443,4376.467170014318,T016,298.18512308532536,A04,existing
P2,G2,A_batteries,G2-A_batteries-03,T016,4674.652293099643,7506.38670992431,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T002,1377.054310164974,5471.134542266502,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T014,2188.702778159127,6077.56810801202,,,A06,existing
P2,G2,A_batteries,G2-A_batteries-06,T007,2412.0543101649737,6473.3586703574865,,,NEW-A_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-01,T008,31.063589399544526,3464.2644426344937,T013,5.000100000000202,B02,existing
P2,G2,B_batteries,G2-B_batteries-01,T013,3469.264542634494,7386.551441607078,,,B02,existing
P2,G2,B_batteries,G2-B_batteries-02,T015,75.06358939954453,3085.4210904501188,T021,5.000099999998838,B03,existing
P2,G2,B_batteries,G2-B_batteries-02,T021,3090.4211904501176,6855.644613854722,,,B03,existing
P2,G2,B_batteries,G2-B_batteries-03,T009,1634.635048527226,4101.627049751667,T023,891.8355121854438,B04,existing
P2,G2,B_batteries,G2-B_batteries-03,T023,4993.462561937111,7977.168990287457,,,B04,existing
P2,G2,C_batteries,G2-C_batteries-01,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P2,G2,C_batteries,G2-C_batteries-02,T010,1746.054310164974,6232.527104775175,,,C04,existing
P2,G2,C_batteries,G2-C_batteries-03,T019,3554.5080187959184,8262.36986518381,,,NEW-C_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-04,T018,4155.652293075254,9089.816093907417,,,NEW-C_batteries-02,procurement_required
P2,G2,relay_aircraft,G2-relay_aircraft-01,R003,187.24595495323547,2378.305515838041,R001,115.88611335634141,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-01,R001,2494.1916291943826,6844.949931955979,,,R01,existing
P2,G2,relay_aircraft,G2-relay_aircraft-02,R002,895.2496880206211,6127.414049945758,,,R02,existing
P2,G2,relay_components,G2-relay_components-01,R003,187.24595495323547,2774.416177426897,,,RE01,existing
P2,G2,relay_components,G2-relay_components-02,R002,895.2496880206211,6908.643697377241,,,RE02,existing
P2,G2,relay_components,G2-relay_components-03,R001,2494.1916291943826,7505.4531180220365,,,RE03,existing
P1,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P1,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P1,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
