partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,5.000099999999975,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1317.470977312685,3915.599167997533,T022,5.000100000000657,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T022,3920.599267997534,5612.133754236484,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,0.9999900000025264,2131.639078759585,T014,5.000100000000657,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T014,2136.639178759586,4617.588593700103,T020,5.000100000000202,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,4622.588693700103,6592.798540676922,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,16.99999000000207,2360.847064711974,T007,5.000100000000657,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T007,2365.8471647119745,4973.888061820897,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,684.9999900000032,2966.4599488363947,T016,762.9511991251538,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T016,3729.4111479615485,5425.169252630013,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T021,1593.6620630793823,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3438.20095323495,5336.242224721944,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,1.0869280231418088e-07,1554.5713592363745,T009,5.000099999999975,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1559.5714592363745,2829.551376505643,T013,214.61799938636295,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T013,3044.169375892006,5002.210647379001,T023,5.000099999999293,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,5007.210747379,6526.235091790855,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,66.04479979522034,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1627.4709773126858,4032.0688602229666,T018,5.000100000000202,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T018,4037.068960222967,6472.8784810806155,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T019,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T019,3554.5080187959184,5793.69208376376,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T007,187.05845242450323,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T007,2365.8471647119745,6427.151524904488,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T011,0.9999900000025264,3489.4240737280174,T016,239.98707423353108,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T016,3729.4111479615485,6561.145564786215,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T017,16.99999000000207,3724.4110479615483,T022,196.18822003598552,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T022,3920.599267997534,6787.628260915939,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T004,684.9999900000032,4334.403570614777,T020,288.18512308532627,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T020,4622.588693700103,7832.799191363998,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1317.470977312685,5411.551209414213,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T014,2136.639178759586,6025.504508612479,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T021,5.000100000000657,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T021,3438.20095323495,7203.424376639554,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,1.0869280231418088e-07,3010.357501159267,T013,33.81187473273894,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T013,3044.169375892006,6961.456274864591,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T009,1559.5714592363745,4026.563460460816,T023,980.6472869181844,B03,existing
P3,G1,B_batteries,G1-B_batteries-03,T023,5007.210747379,7990.917175729346,,,B03,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T018,886.9761064600152,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T018,4037.068960222967,8971.23276105513,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T019,606.9013881302344,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T019,3554.5080187959184,8262.36986518381,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1434.4262775174655,6042.173636247587,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1627.4709773126858,6113.943771922888,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R003,112.1823555536936,2332.2419264384966,R001,43.36636990359784,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2375.6082963420945,6859.886332556436,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,849.18608862108,6128.505299147373,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R003,112.1823555536936,2731.9524156575603,,,RE01,existing
