partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,T002,127.58343291807773,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T002,1440.0543102307627,4038.182500915611,T022,280.22117969916326,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T022,4318.403680614774,6009.9381668537235,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T011,0.0,2130.6390887595826,T007,127.4152214711803,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T007,2258.054310230763,4866.095207339685,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T017,0.0,2343.847074711972,T016,1368.5640832495756,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,3712.4111579615474,5408.169262630012,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T004,664.0000000000005,2945.459958836392,T020,547.964224891623,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T020,3493.424183728015,5463.634030704834,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T009,5.00010000000043,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T009,1849.538990155568,3119.5189074248365,T023,5.0000999999997475,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T023,3124.519007424836,4643.543351836692,T013,5.000100000000202,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,4648.543451836692,6606.584723323686,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,11.854818389785123,1566.4261775174668,T021,5.00009999999952,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T021,1571.4262775174664,3469.467549004461,T014,116.02222684441358,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T014,3585.4897758488746,5805.3696141977725,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,184.62813271329742,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1746.054310230763,4150.652193141044,T019,5.000099999999293,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4155.652293141044,6394.836358108885,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,5.000099999999975,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1434.4262775174655,3549.507918795918,T018,5.000100000000202,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3554.5080187959184,5990.317539653567,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,T007,79.2655979432916,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T007,2258.054310230763,6319.358670423276,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T011,0.0,3488.424083728015,T020,5.000100000000202,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T020,3493.424183728015,6703.63468139191,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T017,0.0,3707.4110579615462,T016,5.000100000001112,A03,existing
