id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P12345_6,2,29,2,0.9533150832322458,False,True,4,0,2,0,3,1,6,0,4,0,5,1,2,0,3,0
P12346_5,2,33,6,0.6137650605333509,False,True,4,0,4,2,2,0,6,0,7,3,4,0,3,1,3,0
P1234_56,2,35,8,0.5670801437655967,False,True,4,0,4,2,3,1,6,0,7,3,5,1,3,1,3,0
P1234_5_6,3,35,8,0.9774061669424416,False,True,4,0,4,2,3,1,6,0,7,3,5,1,3,1,3,0
P12356_4,2,31,4,0.8996920158814766,False,True,5,1,2,0,3,1,7,1,4,0,5,1,2,0,3,0
P1235_46,2,30,3,0.8530070991137223,False,True,5,1,2,0,3,1,7,1,4,0,4,0,2,0,3,0
P1235_4_6,3,32,5,1.2587324425282125,False,True,5,1,2,0,4,2,7,1,4,0,5,1,2,0,3,0
P1236_45,2,37,10,0.5134570764148274,False,True,5,1,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P1236_4_5,3,37,10,0.9150647964595915,False,True,5,1,4,2,3,1,7,1,7,3,5,1,3,1,3,0
P123_456,2,36,9,0.4667721596470731,False,True,5,1,4,2,3,1,7,1,7,3,4,0,3,1,3,0
P123_45_6,3,38,11,0.8903611905822931,False,True,5,1,4,2,4,2,7,1,7,3,5,1,3,1,3,0
P123_46_5,3,36,9,0.861193173607775,False,True,5,1,4,2,3,1,7,1,7,3,4,0,3,1,3,0
P123_4_56,3,38,11,0.872740738384979,False,True,5,1,4,2,4,2,7,1,7,3,5,1,3,1,3,0
P12456_3,2,35,8,0.28095975683063146,False,True,6,2,3,1,3,1,7,1,5,1,5,1,3,1,3,0
P1245_36,2,37,10,0.23427484006287705,False,True,6,2,3,1,4,2,7,1,5,1,6,2,3,1,3,0
P1245_3_6,3,37,10,0.7293658548164894,False,True,6,2,3,1,4,2,7,1,5,1,6,2,3,1,3,0
P1246_35,2,37,10,0.10527518263601773,False,True,6,2,4,2,3,1,7,1,6,2,5,1,3,1,3,0
P1246_3_5,3,39,12,0.31630143680777323,False,True,6,2,5,3,3,1,7,1,7,3,5,1,3,1,3,0
P124_356,2,39,12,0.15196009940377195,False,True,6,2,4,2,4,2,7,1,6,2,6,2,3,1,3,0
P124_35_6,3,39,12,0.6761939720642044,False,True,6,2,4,2,4,2,7,1,6,2,6,2,3,1,3,0
P124_36_5,3,41,14,0.3016837607853613,False,True,6,2,5,3,4,2,7,1,7,3,6,2,3,1,3,0
P124_3_56,3,41,14,0.2602068593768353,False,True,6,2,5,3,4,2,7,1,7,3,6,2,3,1,3,0
P1256_34,2,34,7,0.18065177271210786,False,True,6,2,3,1,3,1,6,0,5,1,5,1,3,1,3,0
P1256_3_4,3,37,10,0.6639008800547129,False,True,7,3,3,1,4,2,7,1,5,1,5,1,3,1,3,0
P125_346,2,35,8,0.13396685594435365,False,True,6,2,3,1,4,2,6,0,5,1,5,1,3,1,3,0
P125_34_6,3,36,9,0.6852327137880309,False,True,6,2,3,1,4,2,6,0,5,1,6,2,3,1,3,0
P125_36_4,3,39,12,0.6416448838448201,False,True,7,3,3,1,5,3,7,1,5,1,6,2,3,1,3,0
P125_3_46,3,37,10,0.6069431282593641,False,True,7,3,3,1,4,2,7,1,5,1,5,1,3,1,3,0
P126_345,2,36,9,0.2055831667545412,False,True,6,2,4,2,3,1,6,0,6,2,5,1,3,1,3,0
P126_34_5,3,38,11,0.297834330167411,False,True,6,2,5,3,3,1,6,0,7,3,5,1,3,1,3,0
P126_35_4,3,39,12,0.630154559992674,False,True,7,3,4,2,4,2,7,1,6,2,5,1,3,1,3,0
P126_3_45,3,41,14,0.19654705428652758,False,True,7,3,5,3,4,2,7,1,7,3,5,1,3,1,3,0
P12_3456,2,37,10,0.25226808352229546,False,True,6,2,4,2,4,2,6,0,6,2,5,1,3,1,3,0
P12_345_6,3,38,11,0.7148670885214998,False,True,6,2,4,2,4,2,6,0,6,2,6,2,3,1,3,0
P12_346_5,3,39,12,0.30613786190269116,False,True,6,2,5,3,4,2,6,0,7,3,5,1,3,1,3,0
P12_34_56,3,40,13,0.25177490701207006,False,True,6,2,5,3,4,2,6,0,7,3,6,2,3,1,3,0
P12_356_4,3,41,14,0.649717312307259,False,True,7,3,4,2,5,3,7,1,6,2,6,2,3,1,3,0
P12_35_46,3,39,12,0.5930913680758637,False,True,7,3,4,2,4,2,7,1,6,2,5,1,3,1,3,0
P12_36_45,3,43,16,0.1913675572771423,False,True,7,3,5,3,5,3,7,1,7,3,6,2,3,1,3,0
P12_3_456,3,41,14,0.1426196513736767,False,True,7,3,5,3,4,2,7,1,7,3,5,1,3,1,3,0
P13456_2,2,37,10,0.4092887956906591,False,True,6,2,4,2,4,2,6,0,6,2,5,1,3,1,3,0
P1345_26,2,38,11,0.3626038789229049,False,True,6,2,4,2,4,2,6,0,6,2,6,2,3,1,3,0
P1345_2_6,3,39,12,0.8098496183887862,False,True,6,2,4,2,5,3,6,0,6,2,6,2,3,1,3,0
